France, Total Population, Life expectancy at birth (cohort, 1x10)	Last modified: 23 Aug 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1816-1819     39.77    37.43    38.57
1820-1829     39.67    37.53    38.57
1830-1839     41.06    38.73    39.86
1840-1849     42.53    39.74    41.10
1850-1859     42.96    39.62    41.25
1860-1869     44.53    40.69    42.56
1870-1879     47.10    42.11    44.54
1880-1889     49.88    40.61    45.13
1890-1899     53.44    40.99    47.03
1900-1909     58.58    50.80    54.56
1910-1919     62.55    53.22    57.73
1920-1929     70.00    60.31    65.02
1930-1931     74.01    64.53    69.12
