France, Civilian Population, Life expectancy at birth (cohort, 1x10)	Last modified: 26 Aug 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1816-1819     39.77    37.43    38.57
1820-1829     39.67    37.53    38.57
1830-1839     41.06    38.73    39.86
1840-1849     42.53    39.74    41.10
1850-1859     42.96    39.62    41.25
1860-1869     44.53    40.67    42.56
1870-1879     47.10    42.49    44.82
1880-1889     49.89    44.05    47.10
1890-1899     53.49    46.30    50.05
1900-1909     58.75    51.32    54.93
1910-1919     63.09    54.97    58.97
1920-1929     70.45    61.18    65.70
1930-1931     74.12    64.62    69.23
