Netherlands, Deaths (period 5x10), 	Last modified: 06 Oct 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1850-1859        0            103011.00       125535.00       228546.00
1850-1859      1-4             58601.00        60471.00       119072.00
1850-1859      5-9             16602.00        16750.00        33352.00
1850-1859     10-14             9215.00         8082.00        17297.00
1850-1859     15-19            10141.00         9733.00        19874.00
1850-1859     20-24            11679.00        14115.00        25794.00
1850-1859     25-29            13641.00        12819.00        26460.00
1850-1859     30-34            15149.00        12358.00        27507.00
1850-1859     35-39            15239.00        12770.00        28009.00
1850-1859     40-44            13605.00        13232.00        26837.00
1850-1859     45-49            12174.00        14314.00        26488.00
1850-1859     50-54            14112.00        16735.00        30847.00
1850-1859     55-59            16052.00        17574.00        33626.00
1850-1859     60-64            19157.00        18366.00        37523.00
1850-1859     65-69            22102.00        19071.00        41173.00
1850-1859     70-74            21940.00        17763.00        39703.00
1850-1859     75-79            18716.00        14629.00        33345.00
1850-1859     80-84            12614.00         9979.00        22593.00
1850-1859     85-89             5993.00         4514.00        10507.00
1850-1859     90-94             1702.00         1271.00         2973.00
1850-1859     95-99              321.00          211.00          532.00
1850-1859    100-104              30.00           11.00           41.00
1850-1859    105-109               0.00            0.00            0.00
1850-1859    110+                  0.00            0.00            0.00
1860-1869        0            116645.00       143479.00       260124.00
1860-1869      1-4             64546.00        66233.00       130779.00
1860-1869      5-9             18551.00        19009.00        37560.00
1860-1869     10-14             9721.00         8901.00        18622.00
1860-1869     15-19            10383.00        10098.00        20481.00
1860-1869     20-24            11522.00        14603.00        26125.00
1860-1869     25-29            13552.00        12682.00        26234.00
1860-1869     30-34            14482.00        11526.00        26008.00
1860-1869     35-39            15616.00        12803.00        28419.00
1860-1869     40-44            14829.00        13989.00        28818.00
1860-1869     45-49            12754.00        14931.00        27685.00
1860-1869     50-54            13407.00        15645.00        29052.00
1860-1869     55-59            15165.00        17078.00        32243.00
1860-1869     60-64            19395.00        19836.00        39231.00
1860-1869     65-69            22871.00        21014.00        43885.00
1860-1869     70-74            23900.00        19628.00        43528.00
1860-1869     75-79            20322.00        15382.00        35704.00
1860-1869     80-84            12576.00         9665.00        22241.00
1860-1869     85-89             5358.00         4044.00         9402.00
1860-1869     90-94             1522.00         1060.00         2582.00
1860-1869     95-99              264.00          176.00          440.00
1860-1869    100-104              22.00           10.00           32.00
1860-1869    105-109               0.00            0.00            0.00
1860-1869    110+                  0.00            0.00            0.00
1870-1879        0            134600.00       167375.00       301975.00
1870-1879      1-4             63289.00        65191.00       128480.00
1870-1879      5-9             16766.00        17495.00        34261.00
1870-1879     10-14             8976.00         8084.00        17060.00
1870-1879     15-19            10320.00        10284.00        20604.00
1870-1879     20-24            11465.00        14262.00        25727.00
1870-1879     25-29            12883.00        11776.00        24659.00
1870-1879     30-34            14530.00        11406.00        25936.00
1870-1879     35-39            15212.00        11935.00        27147.00
1870-1879     40-44            13569.00        12979.00        26548.00
1870-1879     45-49            12409.00        14550.00        26959.00
1870-1879     50-54            13850.00        17037.00        30887.00
1870-1879     55-59            15685.00        18594.00        34279.00
1870-1879     60-64            19212.00        20588.00        39800.00
1870-1879     65-69            22754.00        21821.00        44575.00
1870-1879     70-74            26381.00        23670.00        50051.00
1870-1879     75-79            24053.00        20115.00        44168.00
1870-1879     80-84            15982.00        12075.00        28057.00
1870-1879     85-89             7163.00         4994.00        12157.00
1870-1879     90-94             1846.00         1221.00         3067.00
1870-1879     95-99              221.00          162.00          383.00
1870-1879    100-104              19.00           14.00           33.00
1870-1879    105-109               0.00            0.00            0.00
1870-1879    110+                  0.00            0.00            0.00
1880-1889        0            130014.00       164006.00       294020.00
1880-1889      1-4             61899.00        64454.00       126353.00
1880-1889      5-9             15117.00        15766.00        30883.00
1880-1889     10-14             8278.00         7135.00        15413.00
1880-1889     15-19             9803.00         9597.00        19400.00
1880-1889     20-24            10104.00        12599.00        22703.00
1880-1889     25-29            11136.00        10443.00        21579.00
1880-1889     30-34            12226.00        10008.00        22234.00
1880-1889     35-39            12933.00        10988.00        23921.00
1880-1889     40-44            12792.00        12416.00        25208.00
1880-1889     45-49            11550.00        14403.00        25953.00
1880-1889     50-54            12819.00        15786.00        28605.00
1880-1889     55-59            15879.00        19340.00        35219.00
1880-1889     60-64            20576.00        22818.00        43394.00
1880-1889     65-69            25032.00        24972.00        50004.00
1880-1889     70-74            26664.00        24544.00        51208.00
1880-1889     75-79            24461.00        20933.00        45394.00
1880-1889     80-84            17985.00        14648.00        32633.00
1880-1889     85-89             8744.00         6545.00        15289.00
1880-1889     90-94             2531.00         1597.00         4128.00
1880-1889     95-99              373.00          204.00          577.00
1880-1889    100-104              17.00            8.00           25.00
