Finland,  Births (1-year)	Last modified: 20 Jun 2024;  Methods Protocol: v6 (2017)

Year          Female      Male     Total
1859           29976     31478     61454
1860           30820     32363     63183
1861           32470     34064     66534
1862           32493     33835     66328
1863           31619     33364     64983
1864           34878     36429     71307
1865           30645     32135     62780
1866           28745     30108     58853
1867           29013     30151     59164
1868           21334     22423     43757
1869           28379     30016     58395
1870           31185     32563     63748
1871           32661     33906     66567
1872           32269     33920     66189
1873           33325     35097     68422
1874           34528     36370     70898
1875           33821     35700     69521
1876           34873     35886     70759
1877           36637     38194     74831
1878           33880     36395     70275
1879           37189     38961     76150
1880           36423     38361     74784
1881           35209     37227     72436
1882           37000     39053     76053
1883           37401     38977     76378
1884           38118     40029     78147
1885           36582     38547     75129
1886           38361     40215     78576
1887           40033     41691     81724
1888           39280     40892     80172
1889           37758     40123     77881
1890           37837     40023     77860
1891           40069     42059     82128
1892           37182     39251     76433
1893           35453     37577     73030
1894           37193     39013     76206
1895           39808     41975     81783
1896           39868     41788     81656
1897           40007     42323     82330
1898           43344     45762     89106
1899           43032     45326     88358
1900           41904     44435     86339
1901           43147     45490     88637
1902           42280     44802     87082
1903           41357     43763     85120
1904           43909     46344     90253
1905           42992     44849     87841
1906           44429     46972     91401
1907           45041     47416     92457
1908           44651     47495     92146
1909           46215     48790     95005
1910           45239     47745     92984
1911           43978     47260     91238
1912           44752     47523     92275
1913           42185     45065     87250
1914           42549     45028     87577
1915           40468     42838     83306
1916           38716     40937     79653
1917           39320     41726     81046
1918           38587     40907     79494
1919           30829     33067     63896
1920           41070     43644     84714
1921           39953     42212     82165
1922           38907     41233     80140
1923           39639     42322     81961
1924           37757     40300     78057
1925           37906     40354     78260
1926           37394     39481     76875
1927           36638     38973     75611
1928           37608     39915     77523
1929           37043     38968     76011
1930           36648     38588     75236
1931           34723     37143     71866
1932           33878     35474     69352
1933           31628     33419     65047
1934           33137     34576     67713
1935           33764     36178     69942
1936           33545     35350     68895
1937           35077     37242     72319
1938           37106     39589     76695
1939           38300     39864     78164
1940           32031     33818     65849
1941           43359     46206     89565
1942           29959     31713     61672
1943           36814     39298     76112
1944           38468     40978     79446
1945           46306     49452     95758
1946           51609     54466    106075
1947           52500     55668    108168
1948           52471     55288    107759
1949           50239     53276    103515
1950           47723     50342     98065
1951           45354     47709     93063
1952           45924     48390     94314
1953           44250     46616     90866
1954           44096     45749     89845
1955           43672     46068     89740
1956           43350     45546     88896
1957           42340     44645     86985
1958           39701     41447     81148
1959           40600     42653     83253
1960           40101     42028     82129
1961           40128     41868     81996
1962           39741     41713     81454
1963           40121     42130     82251
1964           39219     41209     80428
1965           38031     39854     77885
1966           38146     39551     77697
1967           37650     39639     77289
1968           36053     37601     73654
1969           32833     34617     67450
1970           31545     33014     64559
1971           29978     31089     61067
1972           28489     30375     58864
1973           27487     29300     56787
1974           30619     31853     62472
1975           31902     33817     65719
1976           32540     34306     66846
1977           32035     33624     65659
1978           31145     32838     63983
1979           31205     32223     63428
1980           30715     32349     63064
1981           31016     32453     63469
1982           32101     34005     66106
1983           32698     34194     66892
1984           31846     33230     65076
1985           30784     32012     62796
1986           29597     31035     60632
1987           29196     30631     59827
1988           30943     32373     63316
1989           30946     32402     63348
1990           32010     33539     65549
1991           32134     33261     65395
1992           32584     34147     66731
1993           31825     33001     64826
1994           32051     33180     65231
1995           30857     32210     63067
1996           29581     31142     60723
1997           29185     30144     59329
1998           27975     29133     57108
1999           28174     29400     57574
2000           27492     29250     56742
2001           27488     28701     56189
2002           26992     28563     55555
2003           27791     28839     56630
2004           28074     29684     57758
2005           28342     29400     57742
2006           28835     30005     58840
2007           28593     30136     58729
2008           29115     30415     59530
2009           29635     30795     60430
2010           29671     31309     60980
2011           29415     30546     59961
2012           29185     30308     59493
2013           28276     29858     58134
2014           27960     29272     57232
2015           27003     28469     55472
2016           26002     26812     52814
2017           24647     25674     50321
2018           22947     24630     47577
2019           22427     23186     45613
2020           22685     23778     46463
2021           24307     25287     49594
2022           21991     22960     44951
2023           21110     22273     43383
