New Zealand,  Births (1-year)	Last modified: 06 Jun 2022;  Methods Protocol: v6 (2017)

Year          Female      Male     Total
1948           23943     25206     49149
1949           23662     25243     48905
1950           24131     25283     49414
1951           24075     25814     49889
1952           25258     26670     51928
1953           25237     26706     51943
1954           26224     27907     54131
1955           27028     28648     55676
1956           27446     29147     56593
1957           28609     29875     58484
1958           29492     31143     60635
1959           30127     31742     61869
1960           30610     32240     62850
1961           31955     33521     65476
1962           31771     33356     65127
1963           31388     33287     64675
1964           30290     32169     62459
1965           29073     31105     60178
1966           29309     30879     60188
1967           30072     31097     61169
1968           30329     31955     62284
1969           30536     32028     62564
1970           30283     31924     62207
1971           31464     32996     64460
1972           30927     32288     63215
1973           29630     31097     60727
1974           28825     30511     59336
1975           27765     28874     56639
1976           26561     28544     55105
1977           26391     27788     54179
1978           24967     26062     51029
1979           25609     26670     52279
1980           24604     25938     50542
1981           24668     26126     50794
1982           24240     25698     49938
1983           24598     25876     50474
1984           25141     26495     51636
1985           25241     26557     51798
1986           25925     26898     52823
1987           26660     28594     55254
1988           28034     29512     57546
1989           28433     29658     58091
1990           29445     30708     60153
1991           29085     30826     59911
1992           28440     30726     59166
1993           28469     30313     58782
1994           27913     29408     57321
1995           27793     29878     57671
1996           27821     29459     57280
1997           28172     29432     57604
1998           26766     28583     55349
1999           27868     29185     57053
2000           27448     29157     56605
2001           27466     28333     55799
2002           26444     27577     54021
2003           27314     28820     56134
2004           28329     29744     58073
2005           28199     29546     57745
2006           28953     30240     59193
2007           31031     33013     64044
2008           31241     33102     64343
2009           30431     32112     62543
2010           30993     32904     63897
2011           29927     31476     61403
2012           29935     31243     61178
2013           28576     30141     58717
2014           27648     29595     57243
2015           29682     31356     61038
2016           28908     30519     59427
2017           29022     30588     59610
2018           28308     29709     58017
2019           29070     30567     59637
2020           28041     29532     57573
2021           28632     30027     58659
