Latvia, Life expectancy at birth (period, 1x5)	Last modified: 11 Mar 2021;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1960-1964     73.81    66.40    70.51
1965-1969     74.55    66.28    70.77
1970-1974     74.61    65.39    70.28
1975-1979     74.10    63.95    69.25
1980-1984     74.42    63.87    69.33
1985-1989     74.88    65.78    70.57
1990-1994     73.77    61.84    67.77
1995-1999     74.21    62.62    68.42
2000-2004     75.76    64.83    70.37
2005-2009     76.71    65.80    71.32
2010-2014     78.59    68.72    73.84
2015-2019     79.57    70.03    74.97
