Czechia, Life expectancy at birth (period, 1x5)	Last modified: 25 Jan 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1950-1954     68.82    63.91    66.38
1955-1959     72.09    66.70    69.43
1960-1964     73.36    67.33    70.38
1965-1969     73.43    66.69    70.06
1970-1974     73.46    66.46    69.94
1975-1979     74.19    67.12    70.65
1980-1984     74.31    67.13    70.69
1985-1989     75.07    67.80    71.41
1990-1994     76.07    68.58    72.31
1995-1999     77.48    70.54    74.04
2000-2004     78.68    72.07    75.41
2005-2009     79.96    73.64    76.84
2010-2014     81.07    74.98    78.06
2015-2019     81.82    75.98    78.92
2020-2021     80.90    74.66    77.73
