Slovakia , Life expectancy at birth (period, 1x5)	Last modified: 29 Oct 2021;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1950-1954     65.56    61.82    63.71
1955-1959     70.49    66.25    68.39
1960-1964     72.97    68.28    70.63
1965-1969     73.23    67.57    70.37
1970-1974     73.43    66.76    70.02
1975-1979     74.19    66.91    70.46
1980-1984     74.63    66.75    70.58
1985-1989     75.09    66.97    70.93
1990-1994     75.80    67.25    71.45
1995-1999     76.70    68.59    72.63
2000-2004     77.69    69.68    73.70
2005-2009     78.52    70.68    74.63
2010-2014     79.79    72.53    76.22
2015-2019     80.57    73.74    77.21
