Finland, Life expectancy at birth (period, 1x5)	Last modified: 20 Jun 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1878-1879     43.08    40.99    42.05
1880-1884     42.13    39.16    40.64
1885-1889     44.83    42.27    43.55
1890-1894     44.52    41.60    43.04
1895-1899     48.25    45.55    46.89
1900-1904     46.25    43.54    44.88
1905-1909     48.54    45.40    46.96
1910-1914     50.63    47.41    49.01
1915-1919     47.59    39.30    43.16
1920-1924     53.29    48.59    50.92
1925-1929     55.30    50.29    52.77
1930-1934     57.86    52.74    55.29
1935-1939     59.54    53.46    56.46
1940-1944     60.23    42.03    50.00
1945-1949     64.48    56.32    60.40
1950-1954     69.31    62.66    66.08
1955-1959     71.26    64.61    68.03
1960-1964     72.50    65.45    69.06
1965-1969     73.35    65.74    69.60
1970-1974     75.00    66.51    70.80
1975-1979     76.89    68.09    72.56
1980-1984     78.34    69.97    74.27
1985-1989     78.72    70.58    74.75
1990-1994     79.45    71.77    75.70
1995-1999     80.63    73.31    77.05
2000-2004     81.63    74.81    78.29
2005-2009     82.82    76.01    79.46
2010-2014     83.58    77.49    80.57
2015-2019     84.27    78.76    81.54
2020-2023     84.27    78.95    81.61
