New Zealand -- Maori, Life expectancy at birth (period, 1x5)	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1948-1949     51.64    52.06    51.84
1950-1954     57.04    54.83    55.86
1955-1959     59.84    58.10    58.95
1960-1964     63.03    60.60    61.76
1965-1969     64.95    61.31    62.96
1970-1974     65.71    61.40    63.41
1975-1979     68.09    63.56    65.68
1980-1984     70.12    65.44    67.64
1985-1989     72.67    67.85    70.19
1990-1994     73.91    68.94    71.38
1995-1999     72.57    67.56    70.04
2000-2004     74.05    69.66    71.87
2005-2008     75.75    71.55    73.68
