Lithuania, Life expectancy at birth (period, 1x5)	Last modified: 29 Jan 2022;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1960-1964     73.57    66.97    70.51
1965-1969     75.10    67.81    71.67
1970-1974     75.61    67.10    71.53
1975-1979     75.64    66.08    70.99
1980-1984     75.75    65.64    70.80
1985-1989     76.15    67.13    71.80
1990-1994     75.50    64.34    69.91
1995-1999     76.15    65.08    70.64
2000-2004     77.55    66.29    71.95
2005-2009     77.56    65.55    71.49
2010-2014     79.31    68.32    73.89
2015-2019     80.31    70.33    75.45
