Austria, Life expectancy at birth (period, 1x5)	Last modified: 30 Mar 2021;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1947-1949     65.15    60.15    62.72
1950-1954     68.77    63.55    66.24
1955-1959     70.84    64.79    67.91
1960-1964     72.61    66.25    69.55
1965-1969     73.29    66.67    70.11
1970-1974     74.05    67.01    70.67
1975-1979     75.36    68.30    71.99
1980-1984     76.55    69.41    73.15
1985-1989     78.03    71.26    74.83
1990-1994     79.19    72.57    76.06
1995-1999     80.44    74.04    77.39
2000-2004     81.59    75.76    78.81
2005-2009     82.70    77.20    80.05
2010-2014     83.43    78.28    80.92
2015-2019     83.93    79.19    81.61
