Taiwan, Life expectancy at birth (period, 1x5)	Last modified: 18 Sep 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1970-1974     72.20    67.28    69.51
1975-1979     73.86    68.96    71.16
1980-1984     74.94    70.04    72.24
1985-1989     76.11    71.06    73.34
1990-1994     77.29    71.87    74.33
1995-1999     78.22    72.47    75.09
2000-2004     79.83    74.02    76.71
2005-2009     81.32    75.06    78.00
2010-2014     82.53    76.27    79.25
2015-2019     83.36    77.07    80.12
2020-2021     84.06    77.82    80.88
