Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
MEX,0,0,0,0,1,225.1,1983,1985,1,1,0,1,0.0553,0.05298,100000,5298,95809,6602375,66.02,66.12
MEX,0,0,0,0,1,225.1,1983,1985,1,1,1,1,0.00501,0.00499,94702,473,94466,6506566,68.71,68.8
MEX,0,0,0,0,1,225.1,1983,1985,1,1,2,1,0.00247,0.00246,94229,232,94113,6412101,68.05,68.15
MEX,0,0,0,0,1,225.1,1983,1985,1,1,3,1,0.00161,0.00161,93997,151,93922,6317988,67.21,67.27
MEX,0,0,0,0,1,225.1,1983,1985,1,1,4,1,0.00118,0.00118,93846,111,93790,6224066,66.32,66.38
MEX,0,0,0,0,1,225.1,1983,1985,1,1,5,1,0.00096,0.00096,93735,90,93690,6130276,65.4,65.46
MEX,0,0,0,0,1,225.1,1983,1985,1,1,6,1,0.00082,0.00082,93645,77,93606,6036586,64.46,64.52
MEX,0,0,0,0,1,225.1,1983,1985,1,1,7,1,0.00074,0.00074,93568,69,93534,5942979,63.52,63.57
MEX,0,0,0,0,1,225.1,1983,1985,1,1,8,1,7.00E-04,7.00E-04,93499,65,93466,5849446,62.56,62.62
MEX,0,0,0,0,1,225.1,1983,1985,1,1,9,1,0.00066,0.00066,93434,62,93403,5755979,61.6,61.66
MEX,0,0,0,0,1,225.1,1983,1985,1,1,10,1,0.00065,0.00065,93372,61,93342,5662576,60.65,60.7
MEX,0,0,0,0,1,225.1,1983,1985,1,1,11,1,0.00069,0.00069,93311,64,93279,5569235,59.68,59.74
MEX,0,0,0,0,1,225.1,1983,1985,1,1,12,1,0.00072,0.00072,93247,67,93214,5475956,58.73,58.78
MEX,0,0,0,0,1,225.1,1983,1985,1,1,13,1,0.00079,0.00079,93180,74,93143,5382742,57.77,57.83
MEX,0,0,0,0,1,225.1,1983,1985,1,1,14,1,0.00091,0.00091,93106,85,93064,5289599,56.81,56.87
MEX,0,0,0,0,1,225.1,1983,1985,1,1,15,1,0.00105,0.00105,93021,98,92972,5196536,55.86,55.92
MEX,0,0,0,0,1,225.1,1983,1985,1,1,16,1,0.00123,0.00123,92923,114,92866,5103564,54.92,54.98
MEX,0,0,0,0,1,225.1,1983,1985,1,1,17,1,0.00144,0.00144,92809,134,92742,5010698,53.99,54.05
MEX,0,0,0,0,1,225.1,1983,1985,1,1,18,1,0.00166,0.00166,92675,154,92598,4917956,53.07,53.13
MEX,0,0,0,0,1,225.1,1983,1985,1,1,19,1,0.00191,0.00191,92521,177,92432,4825358,52.15,52.21
MEX,0,0,0,0,1,225.1,1983,1985,1,1,20,1,0.00217,0.00217,92344,200,92244,4732925,51.25,51.31
MEX,0,0,0,0,1,225.1,1983,1985,1,1,21,1,0.00242,0.00242,92144,223,92032,4640681,50.36,50.42
MEX,0,0,0,0,1,225.1,1983,1985,1,1,22,1,0.00267,0.00267,91921,245,91798,4548649,49.48,49.55
MEX,0,0,0,0,1,225.1,1983,1985,1,1,23,1,0.00289,0.00289,91676,265,91544,4456850,48.62,48.68
MEX,0,0,0,0,1,225.1,1983,1985,1,1,24,1,0.0031,0.0031,91411,283,91270,4365307,47.75,47.82
MEX,0,0,0,0,1,225.1,1983,1985,1,1,25,1,0.0033,0.00329,91128,300,90978,4274037,46.9,46.96
MEX,0,0,0,0,1,225.1,1983,1985,1,1,26,1,0.00346,0.00346,90828,314,90671,4183059,46.05,46.12
MEX,0,0,0,0,1,225.1,1983,1985,1,1,27,1,0.00363,0.00362,90514,328,90350,4092388,45.21,45.27
MEX,0,0,0,0,1,225.1,1983,1985,1,1,28,1,0.00375,0.00375,90186,338,90017,4002038,44.38,44.44
MEX,0,0,0,0,1,225.1,1983,1985,1,1,29,1,0.00387,0.00386,89848,347,89674,3912021,43.54,43.6
MEX,0,0,0,0,1,225.1,1983,1985,1,1,30,1,0.00397,0.00397,89501,355,89324,3822347,42.71,42.77
MEX,0,0,0,0,1,225.1,1983,1985,1,1,31,1,0.00407,0.00406,89146,362,88965,3733023,41.88,41.94
MEX,0,0,0,0,1,225.1,1983,1985,1,1,32,1,0.00416,0.00416,88784,369,88600,3644058,41.04,41.11
MEX,0,0,0,0,1,225.1,1983,1985,1,1,33,1,0.00425,0.00424,88415,375,88228,3555459,40.21,40.28
MEX,0,0,0,0,1,225.1,1983,1985,1,1,34,1,0.00435,0.00434,88040,382,87849,3467231,39.38,39.45
MEX,0,0,0,0,1,225.1,1983,1985,1,1,35,1,0.00444,0.00443,87658,388,87464,3379382,38.55,38.62
MEX,0,0,0,0,1,225.1,1983,1985,1,1,36,1,0.00455,0.00454,87270,396,87072,3291918,37.72,37.78
MEX,0,0,0,0,1,225.1,1983,1985,1,1,37,1,0.00467,0.00466,86874,405,86672,3204846,36.89,36.95
MEX,0,0,0,0,1,225.1,1983,1985,1,1,38,1,0.00481,0.0048,86469,415,86262,3118175,36.06,36.13
MEX,0,0,0,0,1,225.1,1983,1985,1,1,39,1,0.00497,0.00496,86054,427,85840,3031913,35.23,35.3
MEX,0,0,0,0,1,225.1,1983,1985,1,1,40,1,0.00515,0.00514,85627,440,85407,2946073,34.41,34.47
MEX,0,0,0,0,1,225.1,1983,1985,1,1,41,1,0.00536,0.00534,85187,455,84960,2860666,33.58,33.65
MEX,0,0,0,0,1,225.1,1983,1985,1,1,42,1,0.00559,0.00557,84732,472,84496,2775706,32.76,32.82
MEX,0,0,0,0,1,225.1,1983,1985,1,1,43,1,0.00584,0.00583,84260,491,84014,2691210,31.94,32.01
MEX,0,0,0,0,1,225.1,1983,1985,1,1,44,1,0.00614,0.00612,83769,513,83512,2607196,31.12,31.19
MEX,0,0,0,0,1,225.1,1983,1985,1,1,45,1,0.00647,0.00645,83256,537,82988,2523683,30.31,30.38
MEX,0,0,0,0,1,225.1,1983,1985,1,1,46,1,0.00683,0.00681,82719,563,82438,2440696,29.51,29.57
MEX,0,0,0,0,1,225.1,1983,1985,1,1,47,1,0.00723,0.00721,82156,592,81860,2358258,28.7,28.77
MEX,0,0,0,0,1,225.1,1983,1985,1,1,48,1,0.00768,0.00765,81564,624,81252,2276398,27.91,27.98
MEX,0,0,0,0,1,225.1,1983,1985,1,1,49,1,0.00818,0.00814,80940,659,80610,2195146,27.12,27.19
MEX,0,0,0,0,1,225.1,1983,1985,1,1,50,1,0.00871,0.00867,80281,696,79933,2114536,26.34,26.41
MEX,0,0,0,0,1,225.1,1983,1985,1,1,51,1,0.00929,0.00925,79585,736,79217,2034603,25.57,25.64
MEX,0,0,0,0,1,225.1,1983,1985,1,1,52,1,0.00993,0.00988,78849,779,78460,1955386,24.8,24.87
MEX,0,0,0,0,1,225.1,1983,1985,1,1,53,1,0.01064,0.01058,78070,826,77657,1876926,24.04,24.11
MEX,0,0,0,0,1,225.1,1983,1985,1,1,54,1,0.01138,0.01131,77244,874,76807,1799269,23.29,23.37
MEX,0,0,0,0,1,225.1,1983,1985,1,1,55,1,0.0122,0.01213,76370,926,75907,1722462,22.55,22.63
