Finland, Life expectancy at birth (cohort, 1x5)	Last modified: 20 Jun 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1878-1879     44.81    39.83    42.30
1880-1884     45.23    39.89    42.55
1885-1889     46.93    41.15    44.04
1890-1894     48.95    42.38    45.64
1895-1899     50.00    42.27    46.08
1900-1904     52.60    44.55    48.49
1905-1909     55.84    46.80    51.22
1910-1914     58.23    47.56    52.74
1915-1919     60.25    47.43    53.67
1920-1924     65.69    52.10    58.70
1925-1929     69.12    58.74    63.75
1930-1932     72.30    62.90    67.42
