Switzerland, Life expectancy at birth (cohort, 1x5)	Last modified: 09 Aug 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1876-1879     48.02    43.93    45.96
1880-1884     51.47    47.47    49.47
1885-1889     53.46    48.95    51.23
1890-1894     56.12    50.89    53.55
1895-1899     58.48    52.67    55.62
1900-1904     61.01    54.89    57.99
1905-1909     64.39    57.60    61.01
1910-1914     67.55    60.37    63.96
1915-1919     70.44    62.83    66.60
1920-1924     73.74    65.96    69.86
1925-1929     76.14    68.64    72.43
1930-1931     77.61    70.36    73.99
