Italy , Life expectancy at birth (cohort, 1x5)	Last modified: 09 May 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1872-1874     37.03    35.73    36.37
1875-1879     38.96    37.51    38.22
1880-1884     39.58    37.19    38.40
1885-1889     42.79    38.71    40.78
1890-1894     45.32    38.22    41.74
1895-1899     48.17    40.99    44.54
1900-1904     50.67    46.30    48.49
1905-1909     53.04    48.13    50.57
1910-1914     56.03    50.17    53.10
1915-1919     56.48    49.17    52.78
1920-1924     62.48    53.56    57.94
1925-1929     65.58    58.35    61.92
