Netherlands, Life expectancy at birth (cohort, 1x5)	Last modified: 06 Oct 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1850-1854     41.45    39.40    40.40
1855-1859     40.53    38.51    39.50
1860-1864     43.05    40.82    41.91
1865-1869     43.99    41.57    42.75
1870-1874     45.58    43.14    44.33
1875-1879     47.54    44.84    46.15
1880-1884     49.15    46.27    47.67
1885-1889     51.82    48.70    50.22
1890-1894     54.66    50.53    52.56
1895-1899     57.35    52.21    54.76
1900-1904     59.96    53.97    56.94
1905-1909     63.46    56.63    60.03
1910-1914     65.92    58.62    62.25
1915-1919     67.91    59.98    63.89
1920-1924     71.89    63.73    67.75
1925-1929     74.37    66.87    70.56
