New Zealand -- Non-Maori, Life expectancy at birth (period, 1x1)	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1901        60.53    58.43    59.33
  1902        59.30    56.62    57.75
  1903        59.53    56.94    58.07
  1904        61.86    58.92    60.22
  1905        62.45    60.25    61.19
  1906        62.83    60.00    61.18
  1907        58.95    56.85    57.79
  1908        62.49    59.34    60.73
  1909        63.24    60.27    61.56
  1910        62.50    59.85    61.04
  1911        63.34    60.41    61.70
  1912        64.54    61.63    62.95
  1913        63.15    60.34    61.59
  1914        64.14    60.53    62.14
  1915        64.52    61.22    62.74
  1916        63.93    60.03    61.85
  1917        64.29    61.29    62.66
  1918        57.41    50.61    53.84
  1919        64.73    61.62    63.04
  1920        62.29    60.13    61.09
  1921        65.52    62.39    63.82
  1922        65.44    63.05    64.18
  1923        65.05    62.60    63.74
  1924        66.69    63.70    65.09
  1925        66.53    64.05    65.20
  1926        66.13    63.34    64.63
  1927        66.75    64.03    65.29
  1928        66.71    64.00    65.26
  1929        66.90    63.68    65.19
  1930        67.31    64.28    65.70
  1931        67.78    64.93    66.28
  1932        68.28    66.33    67.26
  1933        69.03    66.21    67.53
  1934        68.51    65.72    67.04
  1935        69.14    66.42    67.71
  1936        68.48    65.90    67.14
  1937        68.60    65.61    67.04
  1938        67.88    64.01    65.85
  1939        69.26    65.98    67.53
  1940        69.70    66.13    67.84
  1941        69.20    65.75    67.41
  1942        68.57    65.00    66.78
  1943        69.63    65.78    67.73
  1944        70.01    66.18    68.05
  1945        70.24    66.50    68.31
  1946        70.43    67.29    68.81
  1947        71.65    67.76    69.62
  1948        72.19    68.23    70.12
  1949        72.32    68.53    70.37
  1950        72.46    68.48    70.40
  1951        72.40    67.95    70.10
  1952        72.69    68.54    70.55
  1953        73.68    68.95    71.23
  1954        73.65    68.82    71.14
  1955        73.88    69.00    71.36
  1956        74.15    69.14    71.55
  1957        73.99    68.61    71.19
  1958        74.25    69.18    71.64
  1959        74.17    69.05    71.53
  1960        74.73    69.46    72.01
  1961        74.45    69.17    71.73
  1962        74.75    69.03    71.79
  1963        74.78    68.99    71.78
  1964        74.80    68.93    71.76
  1965        74.78    68.84    71.72
  1966        74.92    68.52    71.59
  1967        75.21    68.87    71.94
  1968        74.81    68.59    71.60
  1969        75.24    68.95    72.00
  1970        75.11    68.69    71.79
  1971        75.58    69.25    72.31
  1972        75.25    69.48    72.31
  1973        75.60    68.93    72.16
  1974        75.53    69.30    72.34
  1975        76.00    69.40    72.61
  1976        76.10    69.68    72.81
  1977        76.06    69.27    72.57
  1978        76.81    70.05    73.34
  1979        76.91    70.16    73.45
  1980        76.24    70.36    73.25
  1981        77.28    70.79    73.97
  1982        77.28    71.01    74.10
  1983        77.29    71.18    74.20
  1984        78.02    71.50    74.72
  1985        77.14    71.20    74.14
  1986        77.58    71.14    74.32
  1987        77.37    71.50    74.42
  1988        77.85    71.58    74.68
  1989        78.27    72.12    75.19
  1990        78.76    72.74    75.75
  1991        79.20    73.62    76.43
  1992        79.61    73.44    76.51
  1993        79.58    74.20    76.93
  1994        80.04    74.44    77.27
  1995        79.87    74.44    77.18
  1996        80.22    75.15    77.72
  1997        80.92    75.53    78.25
  1998        81.49    76.40    79.00
  1999        81.14    76.37    78.81
  2000        82.01    76.90    79.51
  2001        81.85    77.02    79.49
  2002        81.84    77.43    79.69
  2003        82.09    77.82    80.01
  2004        82.17    78.18    80.23
  2005        82.89    78.81    80.91
  2006        82.81    78.85    80.88
  2007        82.89    78.98    80.98
  2008        83.06    79.05    81.09
