Greece, Life expectancy at birth (period, 1x1)	Last modified: 08 Nov 2021;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1981        78.04    73.39    75.73
  1982        78.26    73.44    75.85
  1983        78.05    73.28    75.67
  1984        78.57    73.68    76.13
  1985        78.42    73.40    75.90
  1986        78.81    73.98    76.39
  1987        78.58    73.82    76.20
  1988        79.30    74.27    76.78
  1989        79.53    74.47    77.00
  1990        79.63    74.66    77.14
  1991        79.86    74.66    77.25
  1992        79.77    74.62    77.18
  1993        80.07    74.86    77.45
  1994        80.31    75.03    77.66
  1995        80.40    74.90    77.63
  1996        80.56    75.00    77.76
  1997        80.88    75.37    78.10
  1998        80.75    75.44    78.08
  1999        80.94    75.46    78.18
  2000        81.18    75.52    78.32
  2001        81.60    75.96    78.75
  2002        81.68    76.23    78.93
  2003        81.83    76.39    79.09
  2004        82.05    76.48    79.24
  2005        82.33    76.64    79.46
  2006        82.58    76.97    79.75
  2007        82.46    76.78    79.59
  2008        82.95    77.36    80.14
  2009        83.21    77.44    80.30
  2010        83.25    77.89    80.57
  2011        83.46    77.92    80.68
  2012        83.30    77.86    80.57
  2013        83.79    78.48    81.14
  2014        83.91    78.54    81.23
  2015        83.63    78.32    80.98
  2016        83.79    78.64    81.22
  2017        83.75    78.61    81.19
  2018        84.18    79.02    81.61
  2019        83.99    78.97    81.49
