Russia, Life expectancy at birth (period, 1x1)	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1959        71.16    62.85    67.69
  1960        72.31    63.67    68.70
  1961        72.62    63.90    68.96
  1962        72.27    63.68    68.64
  1963        72.78    64.13    69.13
  1964        73.58    64.89    69.92
  1965        73.31    64.36    69.50
  1966        73.55    64.28    69.57
  1967        73.43    64.02    69.35
  1968        73.55    63.72    69.25
  1969        73.29    63.07    68.76
  1970        73.44    63.07    68.83
  1971        73.77    63.24    69.07
  1972        73.62    63.24    68.98
  1973        73.56    63.28    68.96
  1974        73.77    63.13    68.96
  1975        73.22    62.48    68.32
  1976        73.05    62.19    68.06
  1977        73.19    61.82    67.90
  1978        73.23    61.83    67.91
  1979        73.02    61.49    67.58
  1980        72.96    61.39    67.48
  1981        73.18    61.62    67.69
  1982        73.63    62.24    68.24
  1983        73.42    62.16    68.07
  1984        72.96    61.71    67.56
  1985        73.24    62.73    68.26
  1986        74.20    64.76    69.85
  1987        74.27    64.84    69.90
  1988        74.25    64.62    69.73
  1989        74.49    64.20    69.59
  1990        74.31    63.76    69.22
  1991        74.23    63.41    68.96
  1992        73.70    61.96    67.84
  1993        71.84    58.79    65.06
  1994        71.06    57.38    63.81
  1995        71.60    58.12    64.51
  1996        72.40    59.60    65.78
  1997        72.84    60.84    66.72
  1998        73.12    61.19    67.04
  1999        72.42    59.87    65.92
  2000        72.23    58.98    65.29
  2001        72.16    58.89    65.19
  2002        71.88    58.64    64.91
  2003        71.87    58.54    64.85
  2004        72.33    58.89    65.27
  2005        72.45    58.91    65.34
  2006        73.29    60.40    66.64
  2007        73.96    61.42    67.55
  2008        74.25    61.89    67.96
  2009        74.78    62.85    68.76
  2010        74.87    63.06    68.92
  2011        75.60    64.01    69.81
  2012        75.84    64.53    70.22
  2013        76.29    65.10    70.75
  2014        76.48    65.26    70.92
