Taiwan, Life expectancy at birth (period, 1x1)	Last modified: 18 Sep 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1970        71.43    66.32    68.66
  1971        71.85    66.88    69.16
  1972        72.26    67.40    69.61
  1973        72.47    67.55    69.78
  1974        72.86    68.02    70.22
  1975        73.25    68.42    70.60
  1976        73.59    68.85    70.97
  1977        73.74    68.83    71.04
  1978        74.24    69.31    71.53
  1979        74.41    69.29    71.58
  1980        74.48    69.53    71.76
  1981        74.52    69.63    71.83
  1982        75.01    70.14    72.32
  1983        74.99    70.09    72.29
  1984        75.67    70.71    72.94
  1985        75.78    70.93    73.11
  1986        75.94    71.01    73.23
  1987        76.29    71.19    73.50
  1988        76.09    70.95    73.28
  1989        76.42    71.16    73.54
  1990        76.69    71.40    73.79
  1991        77.13    71.87    74.26
  1992        77.13    71.84    74.24
  1993        77.55    72.09    74.56
  1994        77.86    72.10    74.71
  1995        77.64    71.91    74.51
  1996        77.82    72.08    74.69
  1997        78.35    72.60    75.23
  1998        78.60    72.75    75.43
  1999        78.61    72.92    75.54
  2000        79.24    73.42    76.10
  2001        79.59    73.69    76.41
  2002        79.89    74.20    76.84
  2003        80.04    74.42    77.03
  2004        80.35    74.33    77.12
  2005        80.50    74.20    77.13
  2006        81.28    74.83    77.84
  2007        81.30    75.13    78.03
  2008        81.55    75.31    78.25
  2009        81.93    75.81    78.71
  2010        82.29    76.12    79.05
  2011        82.24    75.81    78.87
  2012        82.41    76.23    79.19
  2013        82.87    76.66    79.63
  2014        82.78    76.50    79.52
  2015        83.14    76.78    79.85
  2016        82.99    76.58    79.68
  2017        83.28    77.09    80.10
  2018        83.57    77.35    80.38
  2019        83.77    77.51    80.57
  2020        84.25    78.04    81.08
  2021        83.88    77.61    80.68
