Slovakia , Life expectancy at birth (period, 1x1)	Last modified: 29 Oct 2021;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1950        62.47    59.02    60.77
  1951        63.22    59.04    61.14
  1952        66.24    62.31    64.29
  1953        67.49    63.74    65.64
  1954        68.37    64.94    66.68
  1955        69.81    65.82    67.84
  1956        70.41    66.28    68.37
  1957        69.50    65.38    67.46
  1958        71.51    67.16    69.36
  1959        71.28    66.72    69.01
  1960        72.53    68.12    70.34
  1961        73.02    68.54    70.79
  1962        72.66    68.00    70.33
  1963        73.20    68.19    70.69
  1964        73.48    68.68    71.08
  1965        72.79    67.81    70.28
  1966        73.17    67.72    70.42
  1967        73.76    68.23    70.97
  1968        73.45    67.57    70.46
  1969        73.06    66.69    69.81
  1970        72.92    66.66    69.72
  1971        73.26    66.62    69.86
  1972        73.84    66.93    70.30
  1973        73.41    66.80    70.03
  1974        73.70    66.82    70.18
  1975        73.93    66.85    70.30
  1976        74.09    67.01    70.47
  1977        74.28    66.75    70.41
  1978        74.13    66.90    70.42
  1979        74.56    67.11    70.74
  1980        74.27    66.71    70.38
  1981        74.70    66.78    70.62
  1982        74.76    66.98    70.76
  1983        74.53    66.65    70.48
  1984        74.89    66.77    70.71
  1985        74.75    66.88    70.72
  1986        74.92    67.04    70.89
  1987        75.10    67.20    71.07
  1988        75.43    67.04    71.13
  1989        75.29    66.81    70.94
  1990        75.38    66.52    70.82
  1991        75.26    66.78    70.92
  1992        75.86    67.06    71.37
  1993        76.14    67.74    71.88
  1994        76.47    68.25    72.33
  1995        76.29    68.26    72.25
  1996        76.79    68.71    72.74
  1997        76.67    68.72    72.69
  1998        76.74    68.46    72.57
  1999        77.10    68.85    72.97
  2000        77.30    69.00    73.14
  2001        77.66    69.47    73.57
  2002        77.69    69.79    73.76
  2003        77.79    69.81    73.82
  2004        78.02    70.33    74.22
  2005        78.08    70.18    74.16
  2006        78.37    70.41    74.42
  2007        78.35    70.58    74.49
  2008        78.86    70.83    74.86
  2009        78.96    71.39    75.22
  2010        79.16    71.74    75.50
  2011        79.66    72.26    76.01
  2012        79.76    72.49    76.18
  2013        79.99    72.91    76.52
  2014        80.32    73.25    76.86
  2015        80.11    73.09    76.65
  2016        80.55    73.75    77.22
  2017        80.58    73.76    77.22
  2018        80.60    73.83    77.26
  2019        81.00    74.26    77.68
