New Zealand -- Maori, Life expectancy at birth (period, 1x1)	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1948        53.04    52.09    52.50
  1949        50.34    52.00    51.20
  1950        55.00    53.78    54.25
  1951        56.47    54.53    55.49
  1952        54.71    53.45    54.08
  1953        58.13    55.08    56.48
  1954        60.51    57.28    58.67
  1955        59.06    58.08    58.61
  1956        59.50    57.98    58.68
  1957        58.04    56.39    57.20
  1958        62.03    58.58    60.09
  1959        60.67    59.60    60.16
  1960        60.62    58.38    59.45
  1961        61.98    58.54    60.11
  1962        63.73    61.25    62.39
  1963        63.93    61.85    62.84
  1964        64.40    62.64    63.52
  1965        65.43    61.39    63.22
  1966        64.06    61.54    62.59
  1967        65.50    62.25    63.76
  1968        64.51    61.09    62.66
  1969        65.26    60.49    62.64
  1970        63.99    60.80    62.34
  1971        64.78    60.66    62.59
  1972        65.55    61.61    63.46
  1973        66.23    60.98    63.39
  1974        67.40    62.86    64.95
  1975        67.20    62.74    64.78
  1976        67.54    63.34    65.29
  1977        66.80    62.78    64.69
  1978        69.65    64.80    67.06
  1979        69.55    64.05    66.60
  1980        68.74    64.98    66.72
  1981        69.87    65.26    67.39
  1982        69.74    65.45    67.48
  1983        70.63    65.11    67.67
  1984        71.71    66.27    68.88
  1985        70.97    67.19    69.07
  1986        73.36    67.28    70.07
  1987        73.17    68.49    70.74
  1988        72.98    68.47    70.71
  1989        72.94    68.09    70.49
  1990        72.28    68.52    70.37
  1991        73.29    68.20    70.67
  1992        75.18    68.83    71.84
  1993        73.89    68.60    71.18
  1994        74.87    70.41    72.61
  1995        75.02    69.96    72.47
  1996        70.97    66.38    68.65
  1997        71.89    67.15    69.49
  1998        73.28    67.68    70.45
  1999        72.88    67.58    70.19
  2000        73.25    68.73    70.99
  2001        73.40    69.87    71.68
  2002        74.16    69.81    71.99
  2003        74.69    69.61    72.14
  2004        74.68    70.27    72.51
  2005        75.34    71.01    73.22
  2006        75.67    71.33    73.52
  2007        76.36    71.33    73.87
  2008        75.64    72.51    74.07
