Austria, Life expectancy at birth (period, 1x1)	Last modified: 30 Mar 2021;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1947        64.01    58.95    61.54
  1948        65.77    60.53    63.21
  1949        65.77    61.02    63.47
  1950        67.28    62.18    64.81
  1951        67.81    62.48    65.22
  1952        69.23    64.09    66.74
  1953        69.71    64.61    67.25
  1954        69.88    64.49    67.28
  1955        70.36    64.56    67.55
  1956        70.54    64.63    67.68
  1957        70.51    64.21    67.44
  1958        71.37    65.33    68.45
  1959        71.39    65.19    68.39
  1960        71.90    65.39    68.74
  1961        72.77    66.41    69.71
  1962        72.48    66.28    69.50
  1963        72.66    66.40    69.65
  1964        73.19    66.78    70.12
  1965        72.99    66.60    69.93
  1966        73.34    66.84    70.22
  1967        73.37    66.62    70.12
  1968        73.52    66.76    70.27
  1969        73.27    66.56    70.04
  1970        73.42    66.51    70.09
  1971        73.67    66.66    70.29
  1972        74.02    66.95    70.62
  1973        74.57    67.54    71.20
  1974        74.62    67.44    71.18
  1975        74.70    67.66    71.33
  1976        75.06    68.19    71.79
  1977        75.44    68.50    72.14
  1978        75.65    68.44    72.20
  1979        75.97    68.78    72.55
  1980        76.04    68.95    72.67
  1981        76.38    69.26    72.99
  1982        76.58    69.37    73.15
  1983        76.59    69.50    73.22
  1984        77.18    70.00    73.77
  1985        77.30    70.32    73.99
  1986        77.65    70.89    74.46
  1987        78.03    71.39    74.90
  1988        78.52    71.85    75.37
  1989        78.66    71.90    75.46
  1990        78.87    72.23    75.74
  1991        78.98    72.26    75.79
  1992        79.14    72.50    75.99
  1993        79.34    72.76    76.22
  1994        79.64    73.12    76.54
  1995        79.95    73.29    76.78
  1996        80.08    73.66    77.03
  1997        80.54    74.02    77.43
  1998        80.82    74.44    77.78
  1999        80.83    74.78    77.96
  2000        81.09    75.10    78.24
  2001        81.56    75.59    78.72
  2002        81.66    75.77    78.85
  2003        81.54    75.91    78.85
  2004        82.09    76.39    79.36
  2005        82.21    76.61    79.52
  2006        82.63    77.07    79.96
  2007        82.83    77.29    80.16
  2008        82.95    77.58    80.37
  2009        82.85    77.40    80.20
  2010        83.12    77.66    80.47
  2011        83.43    78.07    80.83
  2012        83.28    78.26    80.84
  2013        83.56    78.46    81.08
  2014        83.73    78.91    81.39
  2015        83.58    78.63    81.16
  2016        83.94    79.14    81.60
  2017        83.90    79.28    81.64
  2018        84.00    79.30    81.69
  2019        84.20    79.54    81.91
