Czechia, Life expectancy at birth (period, 1x1)	Last modified: 25 Jan 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1950        66.83    61.95    64.40
  1951        67.73    62.77    65.26
  1952        69.25    64.42    66.86
  1953        69.92    65.13    67.55
  1954        70.57    65.47    68.05
  1955        71.55    66.33    68.98
  1956        71.97    66.69    69.37
  1957        71.69    66.31    69.03
  1958        72.64    67.23    69.98
  1959        72.68    67.03    69.90
  1960        73.34    67.49    70.45
  1961        73.54    67.61    70.62
  1962        72.86    66.87    69.89
  1963        73.46    67.25    70.39
  1964        73.65    67.46    70.59
  1965        73.39    67.08    70.26
  1966        73.73    67.15    70.46
  1967        73.66    67.03    70.35
  1968        73.38    66.46    69.91
  1969        73.06    65.84    69.42
  1970        72.99    66.04    69.49
  1971        73.37    66.16    69.74
  1972        73.66    66.81    70.23
  1973        73.69    66.53    70.09
  1974        73.60    66.76    70.18
  1975        74.00    66.99    70.49
  1976        74.19    67.04    70.60
  1977        74.20    67.10    70.64
  1978        74.25    67.19    70.71
  1979        74.34    67.32    70.82
  1980        73.92    66.81    70.34
  1981        74.39    67.19    70.77
  1982        74.47    67.32    70.88
  1983        74.30    67.04    70.64
  1984        74.50    67.34    70.90
  1985        74.76    67.49    71.10
  1986        74.67    67.48    71.05
  1987        75.20    67.86    71.51
  1988        75.35    68.10    71.71
  1989        75.43    68.12    71.76
  1990        75.40    67.53    71.41
  1991        75.75    68.23    71.97
  1992        76.18    68.52    72.33
  1993        76.43    69.25    72.85
  1994        76.65    69.49    73.08
  1995        76.65    69.66    73.18
  1996        77.32    70.31    73.84
  1997        77.43    70.42    73.95
  1998        77.99    71.05    74.55
  1999        78.08    71.33    74.74
  2000        78.33    71.55    74.98
  2001        78.51    72.02    75.31
  2002        78.71    72.10    75.44
  2003        78.66    72.08    75.40
  2004        79.21    72.61    75.94
  2005        79.28    72.95    76.16
  2006        79.86    73.47    76.71
  2007        80.08    73.69    76.92
  2008        80.31    73.96    77.17
  2009        80.30    74.15    77.26
  2010        80.64    74.42    77.56
  2011        80.86    74.71    77.81
  2012        80.98    74.95    78.00
  2013        81.15    75.13    78.17
  2014        81.72    75.70    78.74
  2015        81.46    75.61    78.56
  2016        81.86    76.02    78.97
  2017        81.84    75.97    78.93
  2018        81.87    76.02    78.96
  2019        82.07    76.27    79.19
  2020        81.30    75.23    78.24
  2021        80.51    74.11    77.24
