East Germany, Life expectancy at birth (period, 1x1)	Last modified: 03 Jun 2022;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1956        70.88    66.39    68.77
  1957        70.51    65.83    68.32
  1958        70.95    66.48    68.87
  1959        70.90    66.29    68.76
  1960        71.30    66.48    69.06
  1961        72.15    67.27    69.89
  1962        72.02    67.28    69.82
  1963        72.60    67.76    70.37
  1964        72.80    67.89    70.54
  1965        72.94    67.97    70.65
  1966        73.29    68.36    71.03
  1967        73.50    68.44    71.18
  1968        73.14    68.03    70.80
  1969        73.18    67.85    70.73
  1970        73.34    68.14    70.97
  1971        73.66    68.59    71.36
  1972        73.98    68.69    71.57
  1973        74.28    68.81    71.79
  1974        74.45    68.96    71.95
  1975        74.06    68.57    71.56
  1976        74.42    68.86    71.89
  1977        74.87    69.01    72.20
  1978        74.76    68.83    72.05
  1979        74.79    68.76    72.04
  1980        74.64    68.71    71.93
  1981        74.88    69.00    72.20
  1982        75.12    69.13    72.38
  1983        75.46    69.51    72.74
  1984        75.47    69.70    72.85
  1985        75.45    69.56    72.76
  1986        75.50    69.62    72.80
  1987        75.96    69.88    73.15
  1988        76.02    69.83    73.15
  1989        76.43    70.18    73.51
  1990        76.27    69.22    72.92
  1991        76.64    69.44    73.20
  1992        77.28    70.00    73.79
  1993        77.85    70.33    74.24
  1994        78.19    70.67    74.56
  1995        78.56    71.17    75.00
  1996        78.89    71.68    75.42
  1997        79.55    72.33    76.08
  1998        79.90    73.07    76.64
  1999        80.39    73.44    77.06
  2000        80.68    73.72    77.34
  2001        81.01    74.31    77.80
  2002        80.99    74.43    77.83
  2003        81.27    74.55    78.01
  2004        81.75    75.16    78.55
  2005        81.84    75.45    78.74
  2006        82.08    75.75    79.00
  2007        82.28    76.04    79.22
  2008        82.33    76.21    79.32
  2009        82.45    76.29    79.42
  2010        82.53    76.48    79.53
  2011        82.74    76.83    79.82
  2012        82.96    77.03    80.02
  2013        82.83    76.98    79.91
  2014        83.39    77.41    80.41
  2015        83.03    77.04    80.02
  2016        83.30    77.46    80.37
  2017        83.31    77.65    80.47
  2018        83.17    77.52    80.32
  2019        83.61    77.91    80.74
  2020        83.35    77.47    80.37
