Italy , Life expectancy at birth (period, 1x1)	Last modified: 09 May 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1872        30.26    29.28    29.76
  1873        31.84    31.49    31.66
  1874        32.02    31.62    31.81
  1875        31.66    31.13    31.39
  1876        34.00    33.36    33.67
  1877        35.20    34.75    34.96
  1878        34.59    34.21    34.39
  1879        34.18    33.86    34.01
  1880        33.20    32.46    32.82
  1881        34.49    34.08    34.27
  1882        34.61    34.12    34.35
  1883        35.24    35.25    35.23
  1884        36.68    36.69    36.67
  1885        36.80    37.05    36.92
  1886        35.11    35.28    35.18
  1887        36.01    36.12    36.05
  1888        37.07    36.98    37.02
  1889        39.13    39.15    39.13
  1890        38.62    38.56    38.58
  1891        38.56    38.56    38.55
  1892        38.97    38.92    38.93
  1893        40.02    39.76    39.88
  1894        40.10    39.92    40.00
  1895        39.95    39.46    39.69
  1896        41.04    40.52    40.76
  1897        43.43    43.29    43.35
  1898        42.60    42.18    42.38
  1899        43.83    43.61    43.71
  1900        41.98    41.75    41.85
  1901        43.89    43.40    43.64
  1902        43.19    42.85    43.01
  1903        43.47    42.95    43.20
  1904        44.62    44.20    44.40
  1905        44.25    43.75    43.99
  1906        45.43    44.82    45.11
  1907        45.76    45.23    45.48
  1908        43.51    42.75    43.11
  1909        45.38    44.25    44.80
  1910        47.14    46.32    46.72
  1911        45.09    44.61    44.83
  1912        49.34    48.39    48.85
  1913        48.89    48.12    48.49
  1914        50.34    49.41    49.86
  1915        47.09    38.68    42.63
  1916        46.70    34.01    39.71
  1917        47.41    30.98    38.08
  1918        28.34    23.52    25.82
  1919        44.88    38.62    41.70
  1920        46.36    45.29    45.82
  1921        49.95    48.42    49.17
  1922        50.84    49.44    50.12
  1923        52.09    50.90    51.48
  1924        52.30    50.78    51.53
  1925        52.23    50.35    51.28
  1926        51.81    50.15    50.96
  1927        53.38    51.78    52.57
  1928        53.58    51.77    52.66
  1929        53.30    51.25    52.27
  1930        56.27    54.09    55.17
  1931        55.86    53.74    54.80
  1932        55.95    53.53    54.74
  1933        57.45    55.05    56.25
  1934        58.12    55.64    56.88
  1935        57.51    54.89    56.20
  1936        58.17    55.30    56.74
  1937        56.80    53.99    55.40
  1938        57.54    54.75    56.15
  1939        59.02    56.17    57.60
  1940        59.03    54.89    56.95
  1941        58.31    51.42    54.77
  1942        57.58    47.84    52.45
  1943        56.27    43.60    49.44
  1944        57.34    48.03    52.49
  1945        58.63    51.24    54.86
  1946        60.53    57.31    58.94
  1947        62.92    59.43    61.20
  1948        64.91    61.87    63.42
  1949        65.62    62.62    64.15
  1950        67.43    63.94    65.72
  1951        67.05    63.52    65.31
  1952        67.69    64.07    65.91
  1953        68.39    64.70    66.57
  1954        69.88    65.78    67.86
  1955        70.36    66.08    68.25
  1956        69.81    65.42    67.64
  1957        70.09    65.42    67.78
  1958        71.18    66.47    68.85
  1959        71.64    66.91    69.30
  1960        71.69    66.68    69.21
  1961        72.45    67.14    69.82
  1962        71.88    66.53    69.22
  1963        72.05    66.55    69.31
  1964        73.17    67.57    70.38
  1965        73.05    67.45    70.26
  1966        73.81    68.15    71.00
  1967        73.82    68.21    71.03
  1968        73.73    67.99    70.87
  1969        73.86    67.87    70.86
  1970        74.54    68.70    71.63
  1971        74.87    68.87    71.88
  1972        75.20    69.08    72.14
  1973        75.12    69.08    72.11
  1974        75.90    69.69    72.80
  1975        75.91    69.55    72.73
  1976        76.27    69.86    73.07
  1977        76.73    70.14    73.44
  1978        77.13    70.42    73.78
  1979        77.48    70.72    74.11
  1980        77.42    70.67    74.05
  1981        77.75    71.09    74.44
  1982        78.18    71.59    74.91
  1983        77.99    71.44    74.73
  1984        78.77    72.16    75.49
  1985        78.83    72.31    75.60
  1986        79.12    72.62    75.91
  1987        79.56    73.02    76.34
  1988        79.72    73.23    76.52
  1989        80.15    73.59    76.92
  1990        80.25    73.63    76.99
  1991        80.30    73.59    76.99
  1992        80.66    73.97    77.36
  1993        80.83    74.36    77.65
  1994        81.07    74.56    77.87
  1995        81.33    74.78    78.12
  1996        81.54    75.18    78.43
  1997        81.78    75.54    78.73
  1998        81.82    75.64    78.81
  1999        82.19    76.06    79.21
  2000        82.50    76.53    79.61
  2001        82.79    76.80    79.89
  2002        82.96    77.08    80.11
  2003        82.87    77.32    80.19
  2004        83.76    78.06    81.02
  2005        83.67    78.16    81.02
  2006        84.05    78.56    81.41
  2007        84.04    78.74    81.50
  2008        84.14    78.95    81.65
  2009        84.18    79.14    81.76
  2010        84.52    79.54    82.13
  2011        84.55    79.70    82.23
  2012        84.51    79.80    82.25
  2013        84.91    80.20    82.65
  2014        85.11    80.49    82.90
  2015        84.65    80.22    82.52
  2016        85.18    80.73    83.05
  2017        84.86    80.45    82.73
  2018        85.28    80.95    83.19
  2019        85.41    81.14    83.35
  2020        84.47    79.85    82.19
  2021        84.72    80.27    82.54
