France, Total Population, Life expectancy at birth (period, 1x1)	Last modified: 23 Aug 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  2011        85.01    78.40    81.79
  2012        84.87    78.46    81.74
  2013        85.06    78.73    81.97
  2014        85.46    79.24    82.44
  2015        85.17    78.99    82.15
  2016        85.36    79.29    82.40
  2017        85.32    79.42    82.44
  2018        85.46    79.54    82.57
  2019        85.59    79.75    82.74
  2020        85.15    79.18    82.20
  2021        85.31    79.26    82.33
  2022        85.17    79.36    82.31
