Hong Kong, Life expectancy at birth (period, 1x1)	Last modified: 27 Sep 2022;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1986        79.73    74.10    76.95
  1987        79.87    74.14    77.01
  1988        79.84    74.23    77.03
  1989        80.08    74.10    77.05
  1990        80.22    74.47    77.31
  1991        80.77    75.23    77.99
  1992        80.73    74.91    77.75
  1993        81.09    75.44    78.23
  1994        82.02    76.00    78.98
  1995        82.19    76.17    79.14
  1996        82.43    76.53    79.43
  1997        82.96    77.08    79.98
  1998        83.12    77.21    80.12
  1999        83.34    77.59    80.43
  2000        83.61    77.79    80.66
  2001        84.36    78.21    81.24
  2002        84.39    78.39    81.37
  2003        84.08    78.12    81.04
  2004        84.43    78.57    81.46
  2005        84.35    78.61    81.44
  2006        85.15    79.35    82.23
  2007        85.31    79.19    82.20
  2008        84.92    79.21    82.03
  2009        85.47    79.75    82.59
  2010        85.74    79.91    82.80
  2011        86.25    80.28    83.24
  2012        86.22    80.39    83.28
  2013        86.76    80.94    83.84
  2014        86.75    81.13    83.94
  2015        86.95    81.35    84.15
  2016        87.27    81.35    84.31
  2017        87.62    81.79    84.72
  2018        87.99    82.10    85.05
  2019        88.06    82.14    85.12
  2020        88.02    82.27    85.17
