Ireland, Life expectancy at birth (period, 1x1)	Last modified: 12 Jun 2022;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1950        66.73    64.50    65.57
  1951        66.11    63.51    64.75
  1952        68.69    65.77    67.16
  1953        69.22    66.69    67.91
  1954        69.70    66.46    68.00
  1955        69.65    66.48    68.00
  1956        70.72    67.34    68.96
  1957        70.64    67.49    69.00
  1958        71.13    67.57    69.27
  1959        71.42    67.60    69.42
  1960        71.99    68.48    70.17
  1961        71.60    67.85    69.64
  1962        72.11    67.97    69.95
  1963        72.26    68.29    70.19
  1964        72.59    68.49    70.45
  1965        72.94    68.55    70.64
  1966        72.44    68.10    70.15
  1967        73.52    69.08    71.20
  1968        73.27    68.72    70.88
  1969        73.08    68.72    70.80
  1970        73.33    68.58    70.83
  1971        74.18    69.29    71.62
  1972        73.57    68.59    70.96
  1973        73.88    68.72    71.17
  1974        73.84    68.64    71.11
  1975        74.46    69.17    71.69
  1976        74.47    69.36    71.80
  1977        74.63    69.49    71.94
  1978        74.77    69.35    71.93
  1979        75.29    69.39    72.18
  1980        75.39    69.93    72.54
  1981        75.88    70.16    72.89
  1982        76.09    70.47    73.16
  1983        76.22    70.40    73.18
  1984        76.55    70.91    73.62
  1985        76.63    70.76    73.56
  1986        76.62    70.85    73.61
  1987        77.36    71.65    74.41
  1988        77.32    71.70    74.43
  1989        77.30    71.74    74.45
  1990        77.72    72.11    74.84
  1991        77.90    72.29    75.03
  1992        78.29    72.68    75.43
  1993        78.16    72.56    75.29
  1994        78.65    73.05    75.80
  1995        78.31    72.76    75.48
  1996        78.70    73.06    75.83
  1997        78.67    73.36    75.98
  1998        79.08    73.40    76.19
  1999        78.84    73.42    76.09
  2000        79.18    73.94    76.54
  2001        79.76    74.48    77.10
  2002        80.27    74.95    77.59
  2003        80.56    75.63    78.11
  2004        80.99    76.01    78.51
  2005        81.18    76.60    78.91
  2006        81.53    76.76    79.15
  2007        81.86    77.24    79.57
  2008        82.08    77.48    79.79
  2009        82.47    77.68    80.09
  2010        82.84    78.31    80.60
  2011        82.88    78.52    80.73
  2012        82.99    78.68    80.85
  2013        83.10    79.00    81.07
  2014        83.45    79.34    81.42
  2015        83.44    79.62    81.55
  2016        83.60    79.77    81.70
  2017        83.92    80.27    82.11
  2018        83.98    80.24    82.12
  2019        84.38    80.40    82.39
  2020        84.14    80.56    82.35
