Finland, Life expectancy at birth (period, 1x1)	Last modified: 20 Jun 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1878        40.26    38.40    39.34
  1879        46.08    43.72    44.91
  1880        41.17    38.25    39.70
  1881        39.02    36.40    37.70
  1882        41.81    38.84    40.31
  1883        44.39    41.14    42.75
  1884        44.46    41.32    42.88
  1885        42.50    40.07    41.28
  1886        42.29    39.47    40.87
  1887        46.69    44.37    45.54
  1888        46.35    44.02    45.19
  1889        46.35    43.50    44.92
  1890        46.15    43.09    44.61
  1891        43.97    41.27    42.61
  1892        41.35    38.23    39.77
  1893        45.00    41.75    43.35
  1894        46.39    43.97    45.18
  1895        49.24    45.99    47.61
  1896        47.76    45.28    46.52
  1897        49.43    46.78    48.11
  1898        49.36    46.78    48.07
  1899        45.64    43.07    44.35
  1900        43.24    40.41    41.81
  1901        44.16    41.54    42.84
  1902        47.56    44.87    46.21
  1903        48.03    45.12    46.56
  1904        48.44    45.95    47.19
  1905        47.60    44.52    46.05
  1906        48.68    45.40    47.03
  1907        48.59    45.35    46.96
  1908        47.68    44.54    46.09
  1909        50.18    47.20    48.69
  1910        49.90    47.07    48.49
  1911        50.44    47.03    48.72
  1912        50.77    47.49    49.12
  1913        50.78    47.32    49.04
  1914        51.31    48.15    49.73
  1915        51.13    47.99    49.56
  1916        49.70    46.27    47.98
  1917        48.39    44.74    46.54
  1918        43.66    26.37    32.85
  1919        45.35    40.38    42.81
  1920        50.04    45.37    47.68
  1921        54.76    50.06    52.40
  1922        54.18    49.71    51.93
  1923        54.91    50.07    52.48
  1924        52.71    47.88    50.26
  1925        55.95    50.83    53.36
  1926        56.23    51.37    53.79
  1927        54.39    49.32    51.83
  1928        56.18    51.22    53.69
  1929        53.88    48.82    51.32
  1930        57.02    51.91    54.45
  1931        57.27    52.47    54.86
  1932        58.21    53.29    55.75
  1933        58.12    52.69    55.39
  1934        58.66    53.35    56.00
  1935        59.94    54.78    57.36
  1936        58.51    53.81    56.17
  1937        59.77    54.33    57.04
  1938        59.74    54.66    57.20
  1939        59.78    50.02    54.63
  1940        58.08    38.76    46.80
  1941        60.66    37.04    46.42
  1942        61.49    47.39    53.93
  1943        61.92    51.05    56.28
  1944        59.19    39.49    48.06
  1945        60.78    52.90    56.81
  1946        64.58    56.34    60.45
  1947        64.58    56.44    60.51
  1948        65.97    57.91    61.96
  1949        66.14    57.66    61.89
  1950        67.92    60.38    64.20
  1951        68.83    62.26    65.63
  1952        69.48    63.34    66.52
  1953        69.76    63.25    66.60
  1954        70.65    64.23    67.55
  1955        70.66    63.84    67.34
  1956        71.18    64.58    67.98
  1957        70.60    64.11    67.45
  1958        71.72    65.29    68.61
  1959        72.16    65.24    68.79
  1960        72.40    65.41    68.99
  1961        72.24    65.60    69.01
  1962        72.25    65.10    68.74
  1963        72.69    65.52    69.18
  1964        72.96    65.66    69.38
  1965        72.86    65.30    69.13
  1966        73.18    65.96    69.64
  1967        73.59    65.93    69.82
  1968        73.57    65.88    69.78
  1969        73.57    65.64    69.65
  1970        74.40    66.16    70.32
  1971        74.32    65.91    70.15
  1972        75.03    66.61    70.87
  1973        75.68    66.97    71.36
  1974        75.56    66.93    71.29
  1975        76.14    67.43    71.84
  1976        76.33    67.54    71.99
  1977        76.96    67.96    72.51
  1978        77.43    68.58    73.08
  1979        77.55    68.98    73.36
  1980        77.86    69.24    73.65
  1981        78.11    69.62    73.96
  1982        78.59    70.22    74.53
  1983        78.36    70.25    74.44
  1984        78.76    70.49    74.74
  1985        78.52    70.15    74.42
  1986        78.76    70.57    74.77
  1987        78.71    70.67    74.80
  1988        78.69    70.66    74.77
  1989        78.90    70.87    74.97
  1990        78.88    70.94    74.99
  1991        79.32    71.33    75.40
  1992        79.44    71.67    75.65
  1993        79.48    72.11    75.88
  1994        80.15    72.80    76.57
  1995        80.21    72.81    76.60
  1996        80.55    73.03    76.87
  1997        80.51    73.43    77.06
  1998        80.85    73.52    77.26
  1999        81.03    73.74    77.45
  2000        81.02    74.16    77.67
  2001        81.54    74.58    78.14
  2002        81.53    74.87    78.27
  2003        81.81    75.13    78.53
  2004        82.27    75.31    78.85
  2005        82.30    75.53    78.97
  2006        82.83    75.82    79.37
  2007        82.86    75.87    79.39
  2008        83.01    76.32    79.70
  2009        83.11    76.48    79.83
  2010        83.24    76.73    80.01
  2011        83.54    77.19    80.40
  2012        83.41    77.51    80.50
  2013        83.82    77.86    80.87
  2014        83.88    78.18    81.06
  2015        84.15    78.54    81.37
  2016        84.12    78.44    81.30
  2017        84.22    78.72    81.50
  2018        84.31    78.91    81.63
  2019        84.52    79.18    81.87
  2020        84.62    79.03    81.83
  2021        84.48    79.15    81.82
  2022        83.80    78.65    81.21
  2023        84.23    79.01    81.61
