Norway, Life expectancy at birth (period, 1x1)	Last modified: 01 Aug 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1846        49.67    46.44    48.05
  1847        46.08    43.47    44.77
  1848        46.70    43.36    45.01
  1849        49.82    46.31    48.04
  1850        51.28    47.78    49.52
  1851        51.49    47.97    49.72
  1852        49.94    46.98    48.47
  1853        49.33    46.48    47.91
  1854        53.30    49.92    51.62
  1855        52.26    48.59    50.43
  1856        51.84    48.84    50.35
  1857        51.60    48.81    50.21
  1858        53.09    50.04    51.57
  1859        51.28    48.56    49.92
  1860        51.30    48.67    49.99
  1861        46.94    44.67    45.81
  1862        45.80    43.61    44.71
  1863        48.16    45.27    46.71
  1864        49.95    47.62    48.78
  1865        51.85    48.98    50.42
  1866        51.47    48.35    49.91
  1867        49.55    46.22    47.87
  1868        48.95    45.42    47.18
  1869        50.99    47.54    49.26
  1870        52.55    49.18    50.86
  1871        51.40    47.96    49.67
  1872        51.57    48.47    50.02
  1873        51.16    48.19    49.68
  1874        49.23    46.30    47.77
  1875        49.17    46.10    47.63
  1876        48.31    45.33    46.82
  1877        51.20    48.30    49.75
  1878        53.18    50.40    51.78
  1879        54.36    51.93    53.14
  1880        53.27    50.50    51.89
  1881        51.85    49.03    50.44
  1882        48.49    46.26    47.38
  1883        50.70    48.49    49.59
  1884        52.00    49.52    50.76
  1885        52.30    49.76    51.04
  1886        52.88    50.48    51.70
  1887        52.76    50.56    51.67
  1888        51.64    49.06    50.37
  1889        50.43    47.65    49.07
  1890        50.03    47.13    48.61
  1891        51.42    48.13    49.80
  1892        51.45    47.86    49.67
  1893        53.26    49.48    51.39
  1894        52.41    48.79    50.62
  1895        54.40    51.15    52.79
  1896        55.88    51.76    53.82
  1897        55.64    51.76    53.71
  1898        55.76    52.12    53.95
  1899        53.42    49.80    51.61
  1900        55.14    51.77    53.47
  1901        56.43    52.72    54.59
  1902        57.98    54.93    56.47
  1903        56.45    53.44    54.96
  1904        57.33    54.78    56.07
  1905        56.17    53.94    55.09
  1906        58.11    55.63    56.90
  1907        57.86    55.05    56.48
  1908        57.56    54.96    56.28
  1909        58.86    55.98    57.46
  1910        59.50    56.39    57.98
  1911        59.63    56.35    58.01
  1912        59.22    56.18    57.73
  1913        60.02    56.54    58.31
  1914        59.45    56.10    57.79
  1915        59.81    56.45    58.16
  1916        59.09    55.34    57.23
  1917        59.32    56.09    57.71
  1918        52.06    48.55    50.32
  1919        58.09    55.47    56.79
  1920        60.17    57.52    58.85
  1921        62.87    60.23    61.57
  1922        61.91    59.62    60.78
  1923        62.99    60.56    61.80
  1924        63.27    60.89    62.11
  1925        63.96    61.02    62.51
  1926        64.51    61.94    63.25
  1927        64.40    61.27    62.85
  1928        64.68    62.07    63.40
  1929        63.89    60.99    62.45
  1930        65.60    62.56    64.10
  1931        65.55    62.78    64.18
  1932        65.89    63.26    64.59
  1933        66.91    64.03    65.48
  1934        67.69    64.69    66.21
  1935        67.30    64.37    65.84
  1936        67.36    64.25    65.82
  1937        67.65    64.37    66.02
  1938        68.98    65.20    67.09
  1939        69.04    65.64    67.35
  1940        68.63    63.24    65.88
  1941        68.24    63.30    65.74
  1942        68.63    62.88    65.70
  1943        69.03    63.26    66.09
  1944        68.71    63.09    65.84
  1945        70.45    65.97    68.19
  1946        71.30    67.79    69.54
  1947        71.67    68.35    70.01
  1948        72.86    69.39    71.13
  1949        73.07    69.98    71.52
  1950        73.25    69.92    71.59
  1951        74.29    70.76    72.53
  1952        74.30    70.99    72.65
  1953        75.07    71.24    73.15
  1954        75.09    71.33    73.21
  1955        75.34    71.53    73.43
  1956        75.53    71.46    73.49
  1957        75.53    71.37    73.43
  1958        75.53    71.36    73.43
  1959        75.79    71.36    73.55
  1960        75.86    71.33    73.56
  1961        76.05    71.16    73.56
  1962        76.05    70.96    73.46
  1963        75.49    70.78    73.10
  1964        76.07    71.22    73.61
  1965        76.53    71.05    73.73
  1966        76.71    71.41    74.01
  1967        76.94    71.33    74.07
  1968        76.79    71.22    73.95
  1969        76.67    70.81    73.67
  1970        77.32    71.00    74.07
  1971        77.36    71.15    74.17
  1972        77.51    71.34    74.35
  1973        77.71    71.33    74.44
  1974        77.97    71.70    74.76
  1975        78.06    71.72    74.82
  1976        78.20    72.02    75.05
  1977        78.67    72.26    75.40
  1978        78.62    72.36    75.43
  1979        78.82    72.17    75.42
  1980        79.17    72.34    75.67
  1981        79.27    72.64    75.88
  1982        79.54    72.65    76.02
  1983        79.56    72.74    76.08
  1984        79.61    73.01    76.25
  1985        79.41    72.59    75.93
  1986        79.75    72.89    76.25
  1987        79.58    72.76    76.10
  1988        79.57    73.06    76.27
  1989        79.84    73.33    76.54
  1990        79.80    73.45    76.59
  1991        80.09    74.02    77.04
  1992        80.35    74.17    77.24
  1993        80.24    74.24    77.22
  1994        80.65    74.89    77.78
  1995        80.81    74.80    77.80
  1996        81.06    75.37    78.23
  1997        80.97    75.46    78.24
  1998        81.26    75.53    78.41
  1999        81.12    75.61    78.39
  2000        81.37    75.95    78.69
  2001        81.52    76.21    78.89
  2002        81.46    76.40    78.96
  2003        81.93    77.04    79.53
  2004        82.33    77.50    79.97
  2005        82.51    77.72    80.17
  2006        82.66    78.12    80.44
  2007        82.67    78.24    80.50
  2008        82.96    78.32    80.68
  2009        83.06    78.59    80.86
  2010        83.15    78.85    81.04
  2011        83.44    79.00    81.25
  2012        83.42    79.42    81.45
  2013        83.61    79.66    81.66
  2014        84.10    80.03    82.09
  2015        84.14    80.37    82.28
  2016        84.17    80.62    82.42
  2017        84.28    80.92    82.63
  2018        84.50    81.01    82.77
  2019        84.70    81.18    82.96
  2020        84.90    81.48    83.20
  2021        84.73    81.59    83.17
  2022        84.36    80.92    82.64
  2023        84.64    81.39    83.02
