Belgium, Life expectancy at birth (period, 1x1)	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1841        40.36    40.32    40.34
  1842        38.54    38.79    38.67
  1843        40.26    40.50    40.38
  1844        41.75    42.05    41.91
  1845        40.79    41.27    41.05
  1846        38.21    37.48    37.86
  1847        35.84    34.43    35.13
  1848        37.91    38.17    38.05
  1849        34.53    34.49    34.51
  1850        42.13    42.46    42.30
  1851        41.76    42.04    41.91
  1852        41.72    41.89    41.81
  1853        41.35    41.35    41.35
  1854        40.09    39.47    39.78
  1855        37.84    37.09    37.46
  1856        41.14    40.69    40.92
  1857        40.65    40.30    40.48
  1858        40.67    39.70    40.17
  1859        39.49    38.46    38.97
  1860        45.72    44.50    45.10
  1861        41.79    40.74    41.25
  1862        43.62    42.60    43.10
  1863        41.88    40.73    41.29
  1864        40.21    39.41    39.80
  1865        38.39    37.11    37.73
  1866        33.30    31.69    32.47
  1867        44.08    42.06    43.05
  1868        43.53    41.62    42.55
  1869        43.30    41.91    42.59
  1870        41.75    40.14    40.92
  1871        35.22    33.55    34.36
  1872        41.02    39.10    40.04
  1873        44.68    42.38    43.49
  1874        45.82    43.60    44.68
  1875        43.40    41.02    42.17
  1876        44.88    42.54    43.67
  1877        45.75    43.29    44.48
  1878        45.62    42.93    44.23
  1879        45.18    42.57    43.83
  1880        44.01    41.08    42.49
  1881        45.92    43.01    44.42
  1882        47.08    44.12    45.55
  1883        46.45    43.46    44.90
  1884        45.72    42.83    44.23
  1885        46.95    44.08    45.47
  1886        44.92    41.88    43.35
  1887        47.76    44.45    46.05
  1888        46.81    43.15    44.92
  1889        46.79    43.46    45.07
  1890        46.12    42.30    44.14
  1891        45.88    42.33    44.04
  1892        44.82    41.62    43.16
  1893        46.05    42.92    44.44
  1894        48.69    44.73    46.63
  1895        47.23    43.83    45.48
  1896        49.77    46.47    48.07
  1897        50.59    47.19    48.84
  1898        50.04    46.31    48.12
  1899        48.23    44.87    46.50
  1900        48.51    44.98    46.69
  1901        51.21    47.76    49.44
  1902        50.82    47.54    49.14
  1903        51.01    47.56    49.23
  1904        50.84    47.76    49.27
  1905        51.68    48.46    50.03
  1906        51.34    48.07    49.67
  1907        52.78    49.44    51.07
  1908        51.38    48.13    49.72
  1909        52.40    48.99    50.66
  1910        52.99    49.70    51.31
  1911        51.12    47.54    49.28
  1912        54.08    50.50    52.25
  1913        54.37    50.62    52.45
  1914            .        .        .
  1915            .        .        .
  1916            .        .        .
  1917            .        .        .
  1918            .        .        .
  1919        51.08    47.52    49.26
  1920        55.94    52.15    54.01
  1921        56.37    53.00    54.66
  1922        56.87    53.55    55.19
  1923        58.60    54.87    56.70
  1924        59.22    55.63    57.40
  1925        58.95    55.35    57.12
  1926        58.73    55.09    56.88
  1927        58.92    55.36    57.11
  1928        59.33    55.66    57.47
  1929        56.95    53.18    55.02
  1930        59.23    55.07    57.10
  1931        60.48    56.44    58.42
  1932        60.44    56.70    58.54
  1933        60.64    56.79    58.68
  1934        62.32    58.38    60.31
  1935        62.01    57.96    59.94
  1936        62.18    57.73    59.91
  1937        62.07    57.92    59.95
  1938        62.47    57.86    60.11
  1939        62.37    57.86    60.06
  1940        60.73    51.78    55.96
  1941        61.73    55.99    58.74
  1942        61.96    56.46    59.09
  1943        62.91    57.82    60.29
  1944        60.76    53.49    56.94
  1945        61.27    55.56    58.32
  1946        64.82    59.13    61.89
  1947        66.19    60.79    63.42
  1948        67.60    62.34    64.92
  1949        68.06    62.92    65.43
  1950        68.89    63.81    66.30
  1951        69.28    64.29    66.75
  1952        70.46    65.54    67.96
  1953        70.90    65.88    68.35
  1954        71.13    66.11    68.59
  1955        71.24    65.93    68.54
  1956        71.61    66.14    68.84
  1957        71.91    66.55    69.20
  1958        72.58    67.29    69.91
  1959        73.07    67.61    70.31
  1960        72.64    66.71    69.62
  1961        73.53    67.55    70.50
  1962        73.13    67.39    70.23
  1963        73.09    67.09    70.04
  1964        73.79    67.70    70.70
  1965        73.64    67.56    70.55
  1966        73.67    67.67    70.63
  1967        74.08    67.84    70.91
  1968        73.78    67.54    70.61
  1969        73.97    67.49    70.67
  1970        74.14    67.82    70.94
  1971        74.38    67.89    71.09
  1972        74.71    68.20    71.41
