Switzerland, Life expectancy at birth (period, 1x1)	Last modified: 09 Aug 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1876        41.93    38.53    40.19
  1877        41.52    38.52    39.99
  1878        41.88    39.30    40.57
  1879        43.41    40.29    41.83
  1880        44.02    40.97    42.47
  1881        43.24    40.66    41.94
  1882        44.41    41.67    43.02
  1883        46.05    44.01    45.02
  1884        46.33    43.84    45.07
  1885        45.15    42.71    43.92
  1886        45.92    43.58    44.75
  1887        46.76    44.18    45.46
  1888        47.35    44.69    46.00
  1889        46.28    44.10    45.18
  1890        46.38    43.67    45.01
  1891        46.22    43.43    44.81
  1892        48.61    45.82    47.20
  1893        47.36    44.82    46.08
  1894        47.06    44.65    45.85
  1895        48.41    45.48    46.93
  1896        50.43    47.35    48.87
  1897        50.52    47.69    49.10
  1898        49.87    46.68    48.26
  1899        51.06    47.57    49.31
  1900        48.94    46.26    47.59
  1901        50.62    47.36    48.97
  1902        51.78    49.11    50.44
  1903        51.32    48.83    50.08
  1904        50.45    48.01    49.23
  1905        51.13    48.27    49.69
  1906        52.21    49.30    50.75
  1907        52.74    49.66    51.19
  1908        53.89    50.70    52.29
  1909        53.15    50.16    51.65
  1910        54.64    51.25    52.93
  1911        53.40    50.16    51.77
  1912        56.09    52.73    54.40
  1913        55.96    52.51    54.23
  1914        56.77    53.47    55.11
  1915        57.50    54.33    55.91
  1916        58.09    54.94    56.52
  1917        57.43    54.12    55.77
  1918        48.94    43.76    46.30
  1919        55.91    53.74    54.83
  1920        55.77    53.22    54.50
  1921        59.44    56.10    57.77
  1922        59.67    57.27    58.48
  1923        61.74    58.22    59.98
  1924        61.03    57.89    59.47
  1925        61.40    58.39    59.91
  1926        62.14    59.01    60.59
  1927        61.58    58.57    60.09
  1928        62.19    58.65    60.43
  1929        62.05    58.21    60.14
  1930        63.48    59.30    61.40
  1931        63.03    59.41    61.23
  1932        63.03    59.35    61.20
  1933        64.22    60.48    62.37
  1934        64.90    60.73    62.83
  1935        63.98    60.24    62.13
  1936        65.25    61.00    63.14
  1937        65.41    61.49    63.48
  1938        65.64    61.97    63.83
  1939        66.05    61.86    63.98
  1940        65.68    61.36    63.54
  1941        66.99    62.76    64.91
  1942        67.76    63.42    65.63
  1943        68.02    63.57    65.82
  1944        67.06    62.61    64.86
  1945        67.38    63.31    65.38
  1946        67.79    64.26    66.06
  1947        68.34    64.07    66.23
  1948        69.42    65.13    67.31
  1949        70.04    65.77    67.95
  1950        71.09    66.65    68.91
  1951        70.97    66.34    68.69
  1952        71.85    67.24    69.59
  1953        71.90    67.06    69.52
  1954        72.30    67.58    69.98
  1955        72.35    67.70    70.07
  1956        72.65    67.67    70.20
  1957        73.17    67.84    70.54
  1958        73.95    68.55    71.29
  1959        74.11    68.72    71.45
  1960        74.11    68.65    71.41
  1961        74.58    68.84    71.74
  1962        74.10    68.45    71.30
  1963        74.24    68.30    71.29
  1964        75.11    69.19    72.18
  1965        75.08    69.48    72.32
  1966        75.26    69.57    72.45
  1967        75.72    69.70    72.74
  1968        75.53    69.80    72.70
  1969        75.65    69.72    72.72
  1970        76.16    70.03    73.12
  1971        76.25    70.17    73.24
  1972        76.83    70.63    73.76
  1973        77.05    70.98    74.06
  1974        77.56    71.17    74.40
  1975        78.01    71.50    74.79
  1976        78.14    71.60    74.91
  1977        78.68    71.96    75.36
  1978        78.66    71.89    75.31
  1979        78.79    72.32    75.61
  1980        78.86    72.23    75.59
  1981        79.13    72.42    75.82
  1982        79.44    72.79    76.16
  1983        79.56    72.69    76.16
  1984        80.04    73.35    76.75
  1985        80.16    73.49    76.88
  1986        80.30    73.66    77.04
  1987        80.66    73.90    77.34
  1988        80.73    73.89    77.37
  1989        80.94    74.06    77.56
  1990        80.71    73.95    77.38
  1991        81.09    74.11    77.65
  1992        81.33    74.45    77.95
  1993        81.42    74.90    78.24
  1994        81.70    75.14    78.50
  1995        81.68    75.29    78.57
  1996        81.99    75.93    79.05
  1997        82.03    76.24    79.23
  1998        82.47    76.31    79.48
  1999        82.48    76.78    79.73
  2000        82.56    76.92    79.84
  2001        82.96    77.35    80.25
  2002        82.95    77.73    80.44
  2003        82.98    77.89    80.54
  2004        83.47    78.43    81.05
  2005        83.69    78.58    81.24
  2006        83.84    79.04    81.55
  2007        83.96    79.25    81.70
  2008        84.18    79.57    81.97
  2009        84.19    79.62    81.99
  2010        84.37    80.03    82.29
  2011        84.68    80.29    82.57
  2012        84.61    80.46    82.62
  2013        84.73    80.51    82.70
  2014        85.10    80.92    83.09
  2015        84.89    80.70    82.85
  2016        85.23    81.53    83.45
  2017        85.36    81.36    83.42
  2018        85.38    81.65    83.57
  2019        85.57    81.89    83.79
  2020        85.07    81.00    83.06
  2021        85.61    81.62    83.65
  2022        85.38    81.61    83.53
