Sweden, Life expectancy at birth (period, 1x1)	Last modified: 23 May 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1751        39.93    36.87    38.43
  1752        36.82    33.95    35.41
  1753        41.32    38.10    39.74
  1754        39.07    35.87    37.50
  1755        37.68    35.42    36.58
  1756        37.88    34.57    36.25
  1757        35.07    32.52    33.81
  1758        34.45    31.39    32.92
  1759        39.95    36.44    38.21
  1760        41.23    38.13    39.71
  1761        39.19    36.41    37.83
  1762        33.66    31.27    32.49
  1763        31.83    29.07    30.46
  1764        37.99    34.62    36.30
  1765        37.87    34.13    35.99
  1766        39.75    36.46    38.11
  1767        40.16    36.32    38.23
  1768        36.28    33.78    35.05
  1769        35.63    33.74    34.71
  1770        37.82    35.47    36.66
  1771        36.89    33.95    35.43
  1772        29.65    25.91    27.73
  1773        18.83    17.18    17.99
  1774        41.40    39.77    40.58
  1775        39.26    37.05    38.15
  1776        42.81    40.21    41.51
  1777        39.24    37.01    38.13
  1778        36.81    34.30    35.56
  1779        33.44    32.19    32.82
  1780        44.06    41.28    42.68
  1781        39.19    36.43    37.81
  1782        38.27    35.06    36.66
  1783        35.56    31.93    33.72
  1784        32.70    30.17    31.44
  1785        34.64    32.31    33.48
  1786        39.40    36.40    37.90
  1787        41.83    38.72    40.27
  1788        38.24    35.41    36.82
  1789        34.75    28.10    31.23
  1790        35.42    31.82    33.60
  1791        39.61    37.30    38.45
  1792        41.33    38.38    39.84
  1793        40.85    38.45    39.64
  1794        41.85    38.98    40.41
  1795        37.80    35.31    36.55
  1796        40.29    37.47    38.88
  1797        41.94    38.81    40.37
  1798        42.96    39.73    41.34
  1799        41.05    37.65    39.34
  1800        33.21    31.17    32.19
  1801        38.09    35.72    36.91
  1802        41.86    38.54    40.18
  1803        41.88    38.63    40.24
  1804        41.46    37.97    39.70
  1805        42.43    39.67    41.05
  1806        37.30    35.10    36.20
  1807        39.95    37.58    38.77
  1808        32.28    28.18    30.19
  1809        28.96    24.97    26.91
  1810        33.67    30.35    31.99
  1811        36.27    32.93    34.59
  1812        36.89    33.35    35.11
  1813        38.61    34.43    36.50
  1814        40.15    37.03    38.60
  1815        41.90    38.99    40.45
  1816        43.67    39.91    41.78
  1817        41.81    38.81    40.31
  1818        41.99    38.07    40.02
  1819        38.65    35.31    36.97
  1820        41.88    38.61    40.24
  1821        39.57    36.73    38.17
  1822        44.84    40.71    42.77
  1823        47.39    43.01    45.20
  1824        47.27    42.69    44.98
  1825        47.61    42.92    45.26
  1826        45.42    40.82    43.11
  1827        44.61    40.72    42.66
  1828        40.29    35.34    37.76
  1829        38.62    33.92    36.21
  1830        43.45    38.59    40.98
  1831        41.17    36.87    39.00
  1832        42.59    39.12    40.85
  1833        44.70    40.36    42.52
  1834        40.89    36.30    38.55
  1835        49.35    44.94    47.15
  1836        47.25    43.05    45.15
  1837        41.81    37.46    39.60
  1838        42.23    37.84    40.00
  1839        41.77    37.99    39.87
  1840        46.14    41.84    43.98
  1841        47.24    43.05    45.14
  1842        45.04    40.59    42.80
  1843        44.86    40.81    42.83
  1844        46.91    41.22    44.01
  1845        48.50    43.51    45.99
  1846        43.94    40.16    42.04
  1847        41.95    38.34    40.14
