Estonia, Life expectancy at birth (period, 1x1)	Last modified: 21 Jan 2021;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1959        71.98    64.41    68.67
  1960        73.02    64.68    69.33
  1961        73.28    65.07    69.64
  1962        73.18    65.59    69.84
  1963        73.54    65.30    69.88
  1964        74.04    66.30    70.64
  1965        74.25    66.30    70.71
  1966        74.28    66.21    70.66
  1967        74.72    66.35    70.98
  1968        74.46    65.91    70.61
  1969        74.43    65.37    70.27
  1970        74.56    65.51    70.40
  1971        74.78    65.68    70.60
  1972        74.64    65.44    70.38
  1973        74.66    66.01    70.69
  1974        75.06    65.85    70.81
  1975        74.75    64.91    70.12
  1976        74.40    64.53    69.74
  1977        74.49    64.65    69.83
  1978        74.54    64.31    69.66
  1979        74.21    64.15    69.41
  1980        74.27    64.21    69.47
  1981        74.13    64.11    69.34
  1982        74.72    64.58    69.86
  1983        74.84    64.36    69.79
  1984        74.28    64.60    69.64
  1985        74.49    64.66    69.78
  1986        75.10    66.17    70.91
  1987        75.06    66.29    70.92
  1988        75.02    66.44    70.97
  1989        74.89    65.69    70.50
  1990        74.91    64.70    69.92
  1991        74.97    64.47    69.79
  1992        74.77    63.51    69.16
  1993        74.08    62.48    68.22
  1994        72.99    60.82    66.74
  1995        74.35    61.62    67.82
  1996        75.59    64.43    70.03
  1997        75.93    64.54    70.25
  1998        75.44    64.28    69.84
  1999        76.11    65.16    70.68
  2000        76.32    65.60    71.02
  2001        76.51    65.16    70.84
  2002        77.20    65.56    71.37
  2003        77.29    66.45    71.93
  2004        77.96    66.73    72.38
  2005        78.30    67.58    73.03
  2006        78.60    67.64    73.20
  2007        78.78    67.46    73.16
  2008        79.41    68.89    74.29
  2009        80.03    69.98    75.18
  2010        80.53    70.83    75.89
  2011        81.00    71.30    76.36
  2012        81.15    71.33    76.44
  2013        81.32    72.71    77.27
  2014        81.49    72.30    77.12
  2015        81.80    73.09    77.68
  2016        81.88    73.20    77.77
  2017        82.29    73.67    78.20
  2018        82.41    73.88    78.36
  2019        82.74    74.42    78.80
