Lithuania, Life expectancy at birth (period, 1x1)	Last modified: 29 Jan 2022;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1959        70.63    64.37    67.73
  1960        73.02    66.99    70.28
  1961        73.61    66.83    70.45
  1962        72.46    65.94    69.43
  1963        73.85    66.79    70.56
  1964        75.05    68.30    71.93
  1965        74.75    68.15    71.69
  1966        75.12    68.15    71.87
  1967        75.48    67.98    71.95
  1968        75.15    67.68    71.63
  1969        75.01    67.08    71.23
  1970        75.04    66.81    71.10
  1971        76.13    67.56    72.04
  1972        75.45    66.83    71.31
  1973        75.65    67.23    71.62
  1974        75.71    67.01    71.54
  1975        75.57    66.37    71.11
  1976        75.87    66.30    71.22
  1977        75.65    66.20    71.06
  1978        75.43    66.00    70.85
  1979        75.62    65.58    70.72
  1980        75.63    65.58    70.70
  1981        75.65    65.50    70.69
  1982        75.99    65.92    71.07
  1983        75.89    65.90    71.01
  1984        75.57    65.33    70.54
  1985        75.48    65.76    70.74
  1986        76.44    67.93    72.39
  1987        76.34    67.73    72.23
  1988        76.26    67.46    72.03
  1989        76.21    66.84    71.66
  1990        76.15    66.39    71.37
  1991        75.81    65.13    70.51
  1992        75.87    64.78    70.34
  1993        74.93    63.12    68.94
  1994        74.76    62.51    68.50
  1995        74.96    63.24    69.02
  1996        75.79    64.61    70.20
  1997        76.55    65.45    71.03
  1998        76.57    65.97    71.33
  1999        76.94    66.33    71.72
  2000        77.37    66.74    72.14
  2001        77.49    65.90    71.71
  2002        77.47    66.17    71.84
  2003        77.73    66.40    72.09
  2004        77.73    66.27    72.00
  2005        77.47    65.21    71.25
  2006        77.06    65.05    70.96
  2007        77.19    64.51    70.70
  2008        77.52    65.92    71.69
  2009        78.53    67.12    72.85
  2010        78.76    67.55    73.19
  2011        79.06    68.03    73.61
  2012        79.41    68.39    73.97
  2013        79.37    68.53    74.02
  2014        79.86    69.13    74.59
  2015        79.61    69.15    74.48
  2016        79.97    69.47    74.82
  2017        80.37    70.71    75.70
  2018        80.59    70.91    75.90
  2019        81.02    71.50    76.42
  2020        80.03    70.07    75.10
