Bulgaria, Life expectancy at birth (period, 1x1)	Last modified: 15 Sep 2022;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1947        55.74    52.58    54.14
  1948        57.26    54.43    55.83
  1949        59.69    56.34    57.99
  1950        63.28    59.70    61.47
  1951        62.27    59.13    60.68
  1952        61.08    58.09    59.57
  1953        65.96    62.46    64.18
  1954        66.15    62.66    64.39
  1955        66.55    63.13    64.82
  1956        66.95    63.50    65.21
  1957        68.33    64.87    66.59
  1958        70.41    67.03    68.71
  1959        68.20    65.07    66.63
  1960        70.92    67.45    69.17
  1961        72.07    68.42    70.22
  1962        71.32    67.78    69.53
  1963        72.02    68.68    70.33
  1964        72.94    69.35    71.13
  1965        73.22    69.44    71.30
  1966        73.15    69.34    71.22
  1967        72.55    68.36    70.41
  1968        73.29    69.18    71.20
  1969        72.77    68.28    70.47
  1970        73.50    69.10    71.25
  1971        73.22    68.62    70.85
  1972        73.19    68.65    70.86
  1973        73.73    69.00    71.30
  1974        73.60    68.95    71.21
  1975        73.54    68.62    71.00
  1976        73.88    68.98    71.36
  1977        73.46    68.25    70.77
  1978        73.65    68.75    71.13
  1979        74.01    68.61    71.22
  1980        73.90    68.45    71.08
  1981        74.31    68.82    71.48
  1982        73.95    68.39    71.08
  1983        74.31    68.39    71.24
  1984        74.47    68.44    71.35
  1985        74.25    68.09    71.05
  1986        74.85    68.50    71.55
  1987        74.59    68.33    71.35
  1988        74.76    68.31    71.41
  1989        74.91    68.29    71.48
  1990        74.81    68.08    71.32
  1991        74.51    68.09    71.19
  1992        74.78    67.84    71.18
  1993        75.11    67.57    71.18
  1994        74.81    67.23    70.86
  1995        74.87    67.36    70.96
  1996        74.59    67.35    70.84
  1997        73.91    66.96    70.31
  1998        74.69    67.33    70.87
  1999        75.10    68.20    71.56
  2000        75.01    68.30    71.58
  2001        75.40    68.53    71.88
  2002        75.58    68.83    72.13
  2003        75.98    68.94    72.37
  2004        76.26    69.07    72.58
  2005        76.25    69.05    72.56
  2006        76.30    69.25    72.69
  2007        76.62    69.55    73.01
  2008        76.98    69.84    73.34
  2009        77.33    70.17    73.68
  2010        77.35    70.39    73.81
  2011        77.72    70.73    74.16
  2012        77.87    70.91    74.33
  2013        78.47    71.29    74.82
  2014        77.97    71.07    74.47
  2015        78.13    71.23    74.62
  2016        78.47    71.31    74.83
  2017        78.34    71.37    74.80
  2018        78.49    71.49    74.93
  2019        78.72    71.58    75.09
  2020        77.48    69.99    73.60
  2021        75.10    68.05    71.41
