Denmark, Life expectancy at birth (period, 1x1)	Last modified: 24 Feb 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1835        40.25    36.70    38.42
  1836        41.65    38.48    40.03
  1837        43.11    40.01    41.53
  1838        44.41    41.91    43.14
  1839        42.71    41.12    41.91
  1840        42.39    39.87    41.10
  1841        43.56    41.79    42.67
  1842        44.11    41.04    42.54
  1843        45.16    42.67    43.91
  1844        45.19    42.97    44.08
  1845        44.65    42.18    43.40
  1846        41.67    39.23    40.44
  1847        41.69    39.27    40.47
  1848        42.32    39.36    40.82
  1849        41.61    37.60    39.57
  1850        45.18    41.91    43.52
  1851        46.22    42.91    44.53
  1852        44.43    41.72    43.05
  1853        39.87    37.34    38.57
  1854        46.27    43.20    44.71
  1855        47.12    45.20    46.15
  1856        47.84    45.69    46.76
  1857        43.41    41.58    42.48
  1858        41.06    39.01    40.02
  1859        45.63    43.22    44.40
  1860        45.96    44.22    45.08
  1861        49.01    46.27    47.62
  1862        48.50    46.68    47.59
  1863        48.52    46.60    47.55
  1864        41.47    38.97    40.20
  1865        40.78    38.86    39.80
  1866        43.64    42.18    42.90
  1867        45.82    44.05    44.92
  1868        46.45    44.83    45.64
  1869        46.77    45.44    46.10
  1870        46.98    45.05    46.00
  1871        46.98    45.22    46.08
  1872        48.12    46.78    47.44
  1873        48.18    46.84    47.50
  1874        47.40    44.74    46.04
  1875        45.45    43.55    44.48
  1876        46.83    44.91    45.85
  1877        48.34    46.40    47.36
  1878        48.33    46.81    47.57
  1879        47.34    45.19    46.25
  1880        45.75    43.86    44.79
  1881        49.28    47.32    48.28
  1882        47.63    45.79    46.70
  1883        49.58    47.47    48.51
  1884        49.37    47.70    48.52
  1885        50.84    48.44    49.62
  1886        49.80    48.16    48.97
  1887        49.65    47.71    48.67
  1888        47.63    45.75    46.69
  1889        49.13    46.51    47.81
  1890        48.43    46.11    47.27
  1891        47.88    45.69    46.78
  1892        48.84    46.02    47.40
  1893        48.30    45.88    47.08
  1894        50.55    48.22    49.38
  1895        52.20    49.56    50.86
  1896        54.56    51.32    52.92
  1897        53.38    50.26    51.80
  1898        54.59    51.65    53.11
  1899        52.43    48.95    50.67
  1900        53.57    50.25    51.90
  1901        54.56    50.79    52.66
  1902        56.22    53.15    54.68
  1903        56.39    53.27    54.83
  1904        57.43    54.00    55.70
  1905        55.78    52.97    54.37
  1906        57.99    54.95    56.47
  1907        57.49    54.71    56.10
  1908        56.38    53.54    54.96
  1909        58.87    55.85    57.36
  1910        59.64    56.44    58.04
  1911        58.68    55.24    56.96
  1912        59.36    56.67    58.01
  1913        60.12    57.63    58.88
  1914        60.11    56.82    58.46
  1915        59.89    56.91    58.40
  1916        58.54    55.29    56.91
  1917        58.49    56.03    57.25
  1918        57.28    55.14    56.22
  1919        57.71    56.08    56.88
  1920        58.47    56.96    57.71
  1921        62.44    60.91    61.66
  1922        61.36    59.95    60.64
  1923        62.06    60.27    61.15
  1924        62.08    60.16    61.09
  1925        62.68    61.19    61.91
  1926        62.55    60.83    61.67
  1927        61.88    60.54    61.19
  1928        62.76    60.94    61.84
  1929        62.77    61.18    61.96
  1930        63.19    61.28    62.22
  1931        62.90    60.88    61.87
  1932        63.44    61.96    62.69
  1933        64.45    62.74    63.58
  1934        65.17    63.04    64.09
  1935        63.86    61.94    62.88
  1936        64.54    62.38    63.44
  1937        65.16    62.75    63.94
  1938        66.07    63.93    64.99
  1939        66.93    64.69    65.80
  1940        67.23    65.32    66.27
  1941        67.06    64.86    65.95
  1942        68.14    66.11    67.12
  1943        68.42    66.44    67.43
  1944        67.40    65.41    66.39
  1945        67.21    64.99    66.08
  1946        68.15    66.35    67.24
  1947        69.65    67.44    68.54
  1948        71.47    68.74    70.09
  1949        71.40    68.85    70.12
  1950        71.52    69.11    70.31
  1951        72.15    69.71    70.92
  1952        72.15    69.39    70.76
  1953        72.47    69.88    71.17
  1954        72.81    69.89    71.34
  1955        73.46    70.39    71.92
  1956        73.71    70.40    72.04
  1957        73.49    70.15    71.81
  1958        74.03    70.48    72.24
  1959        73.87    70.59    72.22
  1960        73.99    70.43    72.20
  1961        74.38    70.56    72.45
  1962        74.44    70.32    72.35
  1963        74.48    70.41    72.42
  1964        74.80    70.29    72.51
  1965        74.65    70.19    72.39
  1966        74.79    70.21    72.47
  1967        75.36    70.62    72.95
  1968        75.58    70.78    73.15
  1969        75.70    70.86    73.25
  1970        75.92    70.87    73.36
  1971        76.16    70.80    73.43
  1972        76.22    70.81    73.47
  1973        76.53    70.97    73.70
  1974        76.82    70.94    73.82
  1975        77.00    71.29    74.10
  1976        76.70    70.93    73.77
  1977        77.67    71.73    74.66
  1978        77.42    71.52    74.43
  1979        77.41    71.20    74.24
  1980        77.18    71.18    74.13
  1981        77.36    71.25    74.25
  1982        77.65    71.60    74.60
  1983        77.55    71.44    74.46
  1984        77.62    71.66    74.62
  1985        77.48    71.53    74.48
  1986        77.53    71.77    74.64
  1987        77.79    71.75    74.75
  1988        77.64    72.04    74.84
  1989        77.76    71.99    74.86
  1990        77.73    72.02    74.87
  1991        77.98    72.47    75.23
  1992        77.97    72.56    75.27
  1993        77.77    72.60    75.19
  1994        78.10    72.78    75.44
  1995        77.84    72.73    75.29
  1996        78.26    73.06    75.67
  1997        78.47    73.56    76.04
  1998        78.89    73.94    76.44
  1999        78.89    74.21    76.58
  2000        79.12    74.44    76.82
  2001        79.22    74.67    76.98
  2002        79.34    74.80    77.10
  2003        79.74    75.03    77.40
  2004        80.11    75.41    77.79
  2005        80.45    75.94    78.23
  2006        80.51    75.90    78.22
  2007        80.53    76.13    78.35
  2008        80.92    76.48    78.72
  2009        81.03    76.84    78.96
  2010        81.33    77.12    79.24
  2011        81.83    77.70    79.79
  2012        82.04    78.07    80.09
  2013        82.31    78.28    80.31
  2014        82.67    78.57    80.64
  2015        82.69    78.77    80.75
  2016        82.79    78.95    80.88
  2017        83.12    79.10    81.11
  2018        82.96    79.02    80.99
  2019        83.42    79.44    81.43
  2020        83.51    79.58    81.55
  2021        83.30    79.57    81.44
  2022        83.18    79.43    81.30
