Croatia, Life expectancy at birth (period, 1x1)	Last modified: 24 Feb 2022;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  2001        78.10    70.94    74.56
  2002        78.32    71.05    74.72
  2003        78.22    71.01    74.65
  2004        78.88    71.85    75.42
  2005        78.85    71.73    75.32
  2006        79.24    72.39    75.86
  2007        79.15    72.20    75.70
  2008        79.52    72.28    75.91
  2009        79.53    72.79    76.19
  2010        79.78    73.39    76.63
  2011        80.21    73.77    77.03
  2012        80.48    73.85    77.20
  2013        80.80    74.39    77.64
  2014        80.88    74.63    77.81
  2015        80.44    74.32    77.42
  2016        81.17    74.91    78.09
  2017        80.87    74.87    77.91
  2018        81.33    74.86    78.11
  2019        81.45    75.36    78.43
  2020        80.85    74.65    77.75
