Latvia, Life expectancy at birth (period, 1x1)	Last modified: 11 Mar 2021;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1959        72.66    65.56    69.51
  1960        73.51    66.28    70.33
  1961        73.92    66.33    70.54
  1962        73.17    65.83    69.90
  1963        73.69    66.22    70.33
  1964        74.88    67.33    71.53
  1965        74.85    66.79    71.22
  1966        74.60    66.99    71.18
  1967        74.22    66.75    70.86
  1968        74.54    65.76    70.47
  1969        74.55    65.28    70.21
  1970        74.24    65.65    70.24
  1971        74.80    65.74    70.57
  1972        74.77    65.24    70.27
  1973        74.49    65.34    70.19
  1974        74.74    64.97    70.12
  1975        74.16    63.93    69.26
  1976        74.39    63.97    69.39
  1977        74.15    64.28    69.45
  1978        74.10    64.10    69.33
  1979        73.71    63.52    68.83
  1980        74.09    63.74    69.12
  1981        74.37    63.44    69.08
  1982        74.62    64.24    69.63
  1983        74.58    63.87    69.40
  1984        74.46    64.06    69.44
  1985        74.01    64.74    69.60
  1986        75.08    66.29    70.96
  1987        75.11    66.38    71.01
  1988        75.14    66.19    70.91
  1989        75.09    65.33    70.41
  1990        74.51    64.13    69.46
  1991        74.49    63.68    69.17
  1992        74.30    62.58    68.45
  1993        73.20    60.38    66.63
  1994        72.25    58.72    65.18
  1995        72.66    59.71    65.99
  1996        74.41    62.73    68.59
  1997        74.68    63.62    69.22
  1998        74.45    63.20    68.85
  1999        74.96    64.19    69.65
  2000        75.70    64.53    70.18
  2001        75.46    64.26    69.91
  2002        75.85    64.43    70.18
  2003        75.71    65.35    70.64
  2004        76.07    65.60    70.94
  2005        76.28    64.94    70.63
  2006        76.08    64.96    70.55
  2007        76.21    65.30    70.79
  2008        77.38    66.44    72.01
  2009        77.58    67.51    72.70
  2010        77.84    67.89    73.03
  2011        78.50    68.55    73.72
  2012        78.68    68.86    73.95
  2013        78.73    69.26    74.19
  2014        79.23    69.07    74.30
  2015        79.33    69.68    74.67
  2016        79.39    69.78    74.76
  2017        79.53    69.80    74.82
  2018        79.62    70.05    74.99
  2019        80.02    70.90    75.65
