Netherlands, Life expectancy at birth (period, 1x1)	Last modified: 06 Oct 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1850        40.80    38.89    39.84
  1851        40.93    39.35    40.14
  1852        39.55    37.87    38.71
  1853        39.78    37.72    38.74
  1854        39.58    37.88    38.72
  1855        35.40    33.79    34.58
  1856        39.30    37.65    38.47
  1857        36.26    34.59    35.41
  1858        35.87    33.76    34.79
  1859        31.92    29.94    30.91
  1860        38.06    35.98    37.00
  1861        37.31    35.74    36.51
  1862        39.06    37.70    38.37
  1863        39.31    37.35    38.31
  1864        38.57    36.77    37.65
  1865        37.39    35.58    36.47
  1866        34.82    32.61    33.69
  1867        40.36    38.29    39.30
  1868        38.70    36.88    37.78
  1869        41.45    39.45    40.43
  1870        38.55    36.57    37.54
  1871        33.96    32.09    33.01
  1872        37.77    35.21    36.47
  1873        40.55    38.03    39.27
  1874        42.54    40.11    41.30
  1875        39.49    37.25    38.34
  1876        41.75    39.23    40.46
  1877        43.43    40.79    42.08
  1878        42.36    39.88    41.09
  1879        43.17    40.84    41.98
  1880        41.87    39.03    40.41
  1881        44.20    41.63    42.89
  1882        45.25    42.42    43.80
  1883        43.66    41.12    42.36
  1884        42.59    40.15    41.34
  1885        44.47    42.14    43.28
  1886        43.58    40.46    41.98
  1887        46.51    43.52    44.98
  1888        45.68    42.84    44.23
  1889        45.66    43.13    44.37
  1890        45.76    43.13    44.42
  1891        45.68    42.93    44.27
  1892        45.29    42.68    43.95
  1893        47.26    44.52    45.86
  1894        48.44    45.60    46.99
  1895        48.26    45.26    46.73
  1896        49.90    47.25    48.56
  1897        51.13    47.81    49.43
  1898        50.61    47.66    49.11
  1899        50.77    48.00    49.36
  1900        49.90    47.12    48.48
  1901        50.37    47.21    48.75
  1902        51.99    49.35    50.65
  1903        53.09    50.05    51.54
  1904        52.19    49.59    50.87
  1905        53.50    50.76    52.10
  1906        53.85    51.73    52.78
  1907        54.74    52.31    53.51
  1908        54.00    51.59    52.77
  1909        56.14    53.75    54.92
  1910        56.25    54.07    55.14
  1911        54.31    52.08    53.18
