Switzerland, Life expectancy at birth (cohort, 1x1)	Last modified: 09 Aug 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1876        47.06    43.06    45.03
  1877        48.14    44.26    46.18
  1878        48.25    44.20    46.22
  1879        48.68    44.24    46.44
  1880        49.82    45.81    47.81
  1881        51.16    46.93    49.05
  1882        51.88    47.98    49.94
  1883        52.12    48.41    50.26
  1884        52.41    48.26    50.34
  1885        52.39    48.35    50.38
  1886        53.38    48.75    51.10
  1887        53.14    48.46    50.81
  1888        53.95    49.38    51.68
  1889        54.40    49.80    52.14
  1890        54.81    49.46    52.16
  1891        55.93    50.75    53.39
  1892        56.28    51.07    53.71
  1893        56.38    51.29    53.89
  1894        57.09    51.78    54.50
  1895        57.48    51.87    54.70
  1896        58.70    52.90    55.85
  1897        58.53    52.96    55.79
  1898        58.46    52.41    55.50
  1899        59.14    53.15    56.18
  1900        59.63    53.31    56.51
  1901        61.08    54.97    58.08
  1902        61.14    55.05    58.12
  1903        61.29    55.47    58.41
  1904        61.91    55.60    58.78
  1905        63.08    56.39    59.76
  1906        63.52    57.06    60.31
  1907        64.72    57.78    61.26
  1908        65.50    58.24    61.89
  1909        65.12    58.52    61.85
  1910        66.39    59.21    62.80
  1911        66.29    59.09    62.71
  1912        67.73    60.66    64.19
  1913        68.40    61.21    64.80
  1914        69.12    61.79    65.43
  1915        69.57    62.14    65.85
  1916        70.58    62.86    66.67
  1917        70.44    63.04    66.71
  1918        70.56    62.81    66.63
  1919        71.04    63.32    67.16
  1920        72.34    64.45    68.36
  1921        73.36    65.48    69.42
  1922        73.60    66.11    69.87
  1923        74.62    66.80    70.72
  1924        74.87    67.13    71.06
  1925        75.28    67.89    71.64
  1926        75.67    67.93    71.84
  1927        76.05    68.72    72.40
  1928        76.63    69.05    72.88
  1929        77.13    69.66    73.42
  1930        77.44    69.96    73.70
  1931        77.78    70.77    74.28
