England and Wales, Total Population, Life expectancy at birth (cohort, 1x1)	Last modified: 27 Nov 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1841        43.19    40.00    41.59
  1842        43.00    39.87    41.42
  1843        42.98    39.65    41.30
  1844        42.80    39.41    41.08
  1845        42.69    39.28    40.97
  1846        42.26    38.89    40.56
  1847        43.59    40.05    41.80
  1848        43.64    40.05    41.82
  1849        43.79    40.34    42.04
  1850        44.96    41.49    43.21
  1851        44.03    40.45    42.22
  1852        44.04    40.60    42.30
  1853        44.29    40.84    42.54
  1854        44.65    41.27    42.94
  1855        45.30    41.79    43.53
  1856        45.20    41.71    43.44
  1857        45.09    41.42    43.23
  1858        45.54    41.78    43.64
  1859        45.21    41.48    43.32
  1860        46.72    42.98    44.83
  1861        46.66    42.78    44.70
  1862        47.23    43.33    45.26
  1863        47.09    43.16    45.10
  1864        46.82    42.96    44.87
  1865        47.08    43.15    45.10
  1866        47.58    43.51    45.53
  1867        47.87    43.73    45.78
  1868        48.09    44.05    46.05
  1869        48.59    44.36    46.45
  1870        49.73    45.47    47.58
  1871        49.91    45.58    47.73
  1872        50.38    45.94    48.14
  1873        50.42    45.80    48.09
  1874        50.28    45.55    47.89
  1875        50.88    45.80    48.31
  1876        51.33    46.14    48.72
  1877        51.59    46.13    48.85
  1878        51.83    46.13    48.97
  1879        52.44    46.58    49.50
  1880        53.71    47.76    50.75
  1881        53.91    47.76    50.84
  1882        53.93    47.50    50.73
  1883        53.81    47.00    50.41
  1884        53.78    46.64    50.21
  1885        54.21    46.65    50.43
  1886        54.11    46.21    50.17
  1887        54.60    46.27    50.46
  1888        54.58    45.90    50.26
  1889        54.19    45.14    49.68
  1890        55.02    45.62    50.33
  1891        54.75    44.85    49.78
  1892        55.30    45.04    50.14
  1893        55.35    44.84    50.05
  1894        55.77    44.82    50.24
  1895        55.37    44.28    49.74
  1896        55.99    44.85    50.33
  1897        55.74    44.95    50.25
  1898        55.94    45.90    50.83
  1899        56.33    47.46    51.82
  1900        57.56    50.01    53.74
  1901        58.19    51.17    54.63
  1902        59.25    52.47    55.81
  1903        59.15    52.43    55.75
  1904        59.55    52.77    56.11
  1905        60.44    53.60    56.97
  1906        60.95    54.09    57.47
  1907        61.93    54.93    58.38
  1908        62.07    55.10    58.53
  1909        62.52    55.57    58.99
  1910        62.00    55.00    58.44
  1911        62.75    55.68    59.15
  1912        64.04    56.81    60.36
  1913        63.50    56.20    59.79
  1914        63.68    56.34    59.95
  1915        64.76    57.29    60.96
  1916        65.07    57.31    61.10
  1917        66.47    58.29    62.29
  1918        65.81    57.44    61.52
  1919        68.66    60.43    64.45
  1920        66.90    59.00    62.83
  1921        68.68    60.46    64.47
  1922        69.46    61.05    65.15
  1923        69.63    61.21    65.32
  1924        69.77    61.52    65.53
  1925        70.19    62.29    66.13
  1926        70.66    63.22    66.84
  1927        71.30    64.49    67.82
  1928        71.55    65.25    68.34
  1929        72.27    66.29    69.24
  1930        72.96    66.96    69.91
