Sweden, Life expectancy at birth (cohort, 1x1)	Last modified: 23 May 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1751        35.80    32.66    34.22
  1752        37.05    33.90    35.47
  1753        36.66    33.68    35.16
  1754        35.63    33.21    34.43
  1755        35.47    32.92    34.21
  1756        35.35    32.95    34.16
  1757        37.35    34.13    35.75
  1758        37.33    33.93    35.63
  1759        38.31    34.66    36.48
  1760        36.45    33.46    34.96
  1761        35.79    32.56    34.18
  1762        34.89    31.87    33.39
  1763        36.21    32.72    34.46
  1764        36.49    32.80    34.64
  1765        36.71    32.95    34.82
  1766        36.27    32.71    34.49
  1767        34.13    30.91    32.52
  1768        34.99    32.05    33.53
  1769        35.67    32.96    34.34
  1770        36.08    33.04    34.57
  1771        34.90    31.76    33.34
  1772        33.93    30.89    32.41
  1773        39.27    36.17    37.74
  1774        36.85    33.70    35.29
  1775        37.64    34.27    35.96
  1776        38.42    34.68    36.55
  1777        36.65    33.14    34.89
  1778        36.49    32.91    34.70
  1779        37.50    33.75    35.62
  1780        37.91    34.50    36.21
  1781        37.83    34.26    36.05
  1782        37.55    33.86    35.71
  1783        38.48    34.88    36.70
  1784        38.58    35.34    36.99
  1785        39.60    36.00    37.83
  1786        39.01    35.40    37.22
  1787        39.83    36.11    37.99
  1788        38.12    34.30    36.22
  1789        38.81    34.95    36.89
  1790        40.22    36.29    38.25
  1791        40.57    36.29    38.41
  1792        39.65    35.12    37.36
  1793        40.49    36.52    38.49
  1794        39.53    35.46    37.48
  1795        40.03    35.91    37.94
  1796        39.58    35.65    37.58
  1797        39.98    36.13    38.03
  1798        39.72    35.76    37.72
  1799        38.56    34.55    36.52
  1800        39.83    35.82    37.79
  1801        41.20    36.59    38.86
  1802        41.70    36.92    39.27
  1803        40.81    36.20    38.46
  1804        40.42    36.15    38.25
  1805        39.94    35.80    37.84
  1806        39.96    36.16    38.03
  1807        40.17    35.62    37.85
  1808        38.39    34.16    36.24
  1809        41.34    37.08    39.19
  1810        41.31    36.98    39.11
  1811        41.92    37.89    39.88
  1812        42.46    38.11    40.26
  1813        43.65    39.29    41.44
  1814        44.42    40.49    42.43
  1815        44.10    39.93    41.99
  1816        44.45    40.38    42.39
  1817        45.22    41.06    43.11
  1818        44.80    40.68    42.70
  1819        45.08    41.27    43.15
  1820        46.32    42.33    44.30
  1821        46.68    42.93    44.77
  1822        47.86    43.77    45.80
  1823        47.69    43.86    45.75
  1824        47.92    44.14    46.02
  1825        46.84    43.16    44.98
  1826        46.38    42.58    44.47
  1827        46.56    42.81    44.67
  1828        45.87    41.87    43.86
  1829        46.11    42.14    44.10
  1830        46.81    42.53    44.64
