Norway, Life expectancy at birth (cohort, 1x1)	Last modified: 01 Aug 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1846        50.66    47.80    49.23
  1847        51.33    48.15    49.73
  1848        51.58    48.01    49.80
  1849        53.53    51.16    52.35
  1850        52.43    49.70    51.08
  1851        53.35    50.06    51.70
  1852        52.33    48.95    50.66
  1853        52.91    50.28    51.62
  1854        52.98    50.32    51.67
  1855        52.17    49.36    50.78
  1856        51.84    49.39    50.63
  1857        52.08    49.46    50.78
  1858        51.08    48.25    49.68
  1859        51.56    48.90    50.25
  1860        49.57    46.81    48.21
  1861        50.32    46.77    48.58
  1862        51.64    48.65    50.19
  1863        52.58    49.45    51.06
  1864        52.85    49.51    51.22
  1865        53.58    50.62    52.16
  1866        52.72    48.87    50.83
  1867        52.13    48.40    50.29
  1868        52.77    49.41    51.12
  1869        53.12    49.59    51.41
  1870        53.71    50.15    51.97
  1871        53.71    50.46    52.11
  1872        52.67    49.74    51.23
  1873        52.90    49.33    51.13
  1874        52.68    49.47    51.08
  1875        52.98    49.63    51.31
  1876        53.56    49.81    51.69
  1877        53.76    50.81    52.29
  1878        54.34    50.92    52.64
  1879        54.15    51.33    52.77
  1880        53.72    50.18    51.96
  1881        54.08    50.85    52.50
  1882        54.30    51.02    52.69
  1883        55.65    52.05    53.89
  1884        55.02    51.26    53.17
  1885        55.46    52.33    53.94
  1886        55.85    52.56    54.23
  1887        56.24    53.22    54.76
  1888        55.78    52.18    54.00
  1889        56.82    52.83    54.84
  1890        57.60    53.16    55.39
  1891        57.82    53.55    55.68
  1892        58.76    54.15    56.43
  1893        59.50    54.53    56.98
  1894        59.94    54.86    57.37
  1895        60.42    55.27    57.81
  1896        60.57    55.34    57.92
  1897        60.93    55.48    58.19
  1898        61.04    55.50    58.24
  1899        61.43    55.61    58.50
  1900        62.50    56.80    59.63
  1901        63.36    57.45    60.38
  1902        64.05    58.50    61.26
  1903        64.31    58.74    61.52
  1904        65.31    59.03    62.16
  1905        65.27    59.31    62.29
  1906        66.98    60.45    63.67
  1907        67.03    60.62    63.79
  1908        67.27    60.89    64.01
  1909        67.91    61.52    64.66
  1910        68.51    61.73    65.05
  1911        69.02    62.17    65.50
  1912        69.43    62.23    65.73
  1913        69.54    62.62    65.98
  1914        69.74    62.59    66.05
  1915        69.99    62.43    66.13
  1916        71.11    63.25    67.09
  1917        71.40    63.89    67.55
  1918        71.93    63.94    67.83
  1919        72.77    64.71    68.59
  1920        73.52    65.43    69.37
  1921        73.78    65.62    69.60
  1922        74.27    66.31    70.19
  1923        74.69    67.21    70.83
  1924        75.29    67.52    71.26
  1925        75.40    68.14    71.66
  1926        75.60    68.24    71.81
  1927        75.98    68.61    72.19
  1928        76.00    68.83    72.32
  1929        76.39    68.85    72.48
  1930        77.08    69.83    73.33
  1931        77.44    69.95    73.60
  1932        77.52    70.57    73.95
