Denmark, Life expectancy at birth (cohort, 1x1)	Last modified: 24 Feb 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1835        45.38    42.44    43.89
  1836        45.56    42.98    44.25
  1837        45.80    43.26    44.52
  1838        44.99    42.66    43.81
  1839        45.92    43.20    44.55
  1840        45.81    43.28    44.53
  1841        45.79    43.79    44.77
  1842        46.07    43.76    44.91
  1843        46.10    43.76    44.92
  1844        45.77    43.54    44.65
  1845        44.04    41.48    42.74
  1846        43.52    40.87    42.18
  1847        44.45    42.00    43.21
  1848        45.55    42.88    44.20
  1849        45.98    43.70    44.83
  1850        45.74    43.90    44.81
  1851        44.88    42.99    43.93
  1852        44.29    42.05    43.16
  1853        45.51    43.06    44.27
  1854        46.75    45.08    45.91
  1855        47.43    45.62    46.52
  1856        47.05    45.23    46.15
  1857        47.33    45.59    46.46
  1858        48.29    46.29    47.29
  1859        48.90    46.96    47.92
  1860        48.58    46.89    47.75
  1861        48.04    46.44    47.24
  1862        47.58    46.15    46.87
  1863        47.69    45.74    46.71
  1864        47.49    45.62    46.56
  1865        49.16    47.53    48.35
  1866        50.13    48.57    49.35
  1867        50.18    48.45    49.31
  1868        50.49    48.78    49.64
  1869        51.25    49.16    50.21
  1870        51.59    49.65    50.61
  1871        51.29    50.05    50.66
  1872        51.76    50.26    51.01
  1873        51.03    49.35    50.17
  1874        50.32    48.68    49.49
  1875        50.81    49.32    50.06
  1876        51.80    50.43    51.11
  1877        51.94    50.79    51.36
  1878        52.13    50.75    51.43
  1879        51.67    50.12    50.89
  1880        53.01    51.23    52.11
  1881        53.20    51.50    52.34
  1882        53.04    51.30    52.16
  1883        53.56    51.77    52.66
  1884        54.46    52.45    53.45
  1885        54.54    52.59    53.56
  1886        54.00    51.86    52.93
  1887        54.57    52.19    53.38
  1888        54.78    52.30    53.54
  1889        54.68    51.87    53.27
  1890        56.00    53.16    54.58
  1891        56.44    53.17    54.80
  1892        57.08    53.30    55.19
  1893        57.56    54.06    55.82
  1894        58.80    55.16    56.97
  1895        59.75    55.52    57.63
  1896        60.46    56.07    58.28
  1897        60.62    56.06    58.32
  1898        60.60    55.70    58.15
  1899        60.73    55.51    58.12
  1900        61.85    56.74    59.30
  1901        62.43    57.02    59.72
  1902        63.79    58.58    61.18
  1903        63.96    58.68    61.30
  1904        64.17    58.56    61.35
  1905        64.31    58.97    61.61
  1906        65.09    59.18    62.11
  1907        64.80    59.02    61.88
  1908        65.41    59.50    62.44
  1909        66.87    60.77    63.78
  1910        66.91    61.01    63.93
  1911        66.97    61.23    64.06
  1912        68.13    61.96    64.99
  1913        68.10    61.79    64.91
  1914        68.06    61.45    64.71
  1915        67.85    61.53    64.64
  1916        68.19    61.57    64.82
  1917        69.36    62.82    66.05
  1918        68.97    62.84    65.85
  1919        69.43    63.17    66.24
  1920        69.83    63.58    66.68
  1921        70.76    63.91    67.29
  1922        69.97    63.51    66.68
  1923        70.60    63.86    67.18
  1924        70.89    64.25    67.52
  1925        70.88    64.52    67.67
  1926        71.01    64.63    67.78
  1927        71.18    65.28    68.18
  1928        71.41    65.40    68.34
  1929        71.58    65.51    68.49
  1930        71.49    65.62    68.52
  1931        72.56    66.66    69.55
  1932        72.63    66.77    69.66
