Scotland, Life expectancy at birth (cohort, 1x1)	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1855        45.15    42.81    43.97
  1856        44.30    42.11    43.20
  1857        44.73    42.43    43.58
  1858        45.20    42.66    43.93
  1859        44.14    41.77    42.95
  1860        44.08    41.36    42.71
  1861        44.61    41.91    43.25
  1862        45.21    42.48    43.83
  1863        45.53    42.85    44.18
  1864        45.61    42.98    44.29
  1865        46.22    43.37    44.79
  1866        46.36    43.78    45.06
  1867        46.59    44.08    45.33
  1868        46.52    44.02    45.26
  1869        46.36    43.60    44.96
  1870        46.34    43.68    45.00
  1871        46.97    44.16    45.54
  1872        47.92    45.10    46.48
  1873        48.61    45.62    47.09
  1874        48.75    45.68    47.19
  1875        49.30    46.18    47.73
  1876        49.81    46.77    48.29
  1877        50.15    47.18    48.67
  1878        50.68    47.60    49.14
  1879        50.57    47.68    49.14
  1880        50.93    47.79    49.38
  1881        51.39    48.20    49.82
  1882        51.83    48.43    50.17
  1883        52.29    48.45    50.42
  1884        52.30    48.35    50.37
  1885        52.67    48.77    50.78
  1886        52.64    48.65    50.71
  1887        53.10    48.87    51.06
  1888        53.29    48.85    51.15
  1889        52.52    47.88    50.27
  1890        52.72    48.06    50.47
  1891        53.33    48.42    50.95
  1892        54.12    49.22    51.76
  1893        54.31    49.21    51.87
  1894        55.05    49.66    52.46
  1895        55.23    49.58    52.51
  1896        55.21    49.45    52.44
  1897        54.79    49.05    52.04
  1898        55.31    49.40    52.46
  1899        55.81    49.72    52.83
  1900        56.47    50.21    53.37
  1901        57.53    51.01    54.28
  1902        58.29    51.76    55.03
  1903        57.96    51.53    54.75
  1904        58.38    51.80    55.09
  1905        58.94    52.32    55.64
  1906        58.97    52.64    55.82
  1907        59.51    53.07    56.31
  1908        59.81    53.22    56.53
  1909        60.33    53.78    57.07
  1910        60.34    53.86    57.13
  1911        60.61    54.16    57.41
  1912        60.59    53.89    57.26
  1913        60.56    54.04    57.34
  1914        59.82    53.42    56.68
  1915        61.12    54.51    57.90
  1916        61.47    54.79    58.26
  1917        62.46    55.28    59.11
  1918        61.38    53.60    57.90
  1919        63.84    55.35    60.17
  1920        62.96    54.62    59.25
  1921        64.69    57.06    61.03
  1922        65.02    57.89    61.50
  1923        65.28    58.16    61.77
  1924        65.54    58.48    62.01
  1925        66.38    59.49    62.91
  1926        66.74    60.17    63.43
  1927        67.10    60.63    63.84
  1928        67.24    60.94    64.06
  1929        68.17    62.07    65.10
  1930        68.35    62.34    65.34
