France, Civilian Population, Life expectancy at birth (cohort, 1x1)	Last modified: 26 Aug 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1816        39.83    37.61    38.69
  1817        39.71    37.42    38.53
  1818        39.98    37.58    38.74
  1819        39.55    37.12    38.30
  1820        40.90    38.65    39.74
  1821        39.31    37.08    38.16
  1822        39.07    37.03    38.02
  1823        39.19    37.18    38.16
  1824        38.86    36.85    37.82
  1825        40.11    38.35    39.21
  1826        39.25    37.20    38.20
  1827        39.63    37.38    38.47
  1828        39.89    37.51    38.67
  1829        40.36    37.87    39.08
  1830        41.29    39.01    40.12
  1831        40.00    37.61    38.76
  1832        40.52    38.02    39.23
  1833        39.98    37.35    38.62
  1834        40.18    37.59    38.85
  1835        41.96    39.72    40.81
  1836        41.38    39.06    40.19
  1837        41.50    39.38    40.41
  1838        41.66    39.60    40.61
  1839        42.00    39.80    40.87
  1840        43.07    40.98    42.00
  1841        42.12    39.82    40.94
  1842        42.29    39.91    41.07
  1843        42.49    40.12    41.27
  1844        43.03    40.36    41.67
  1845        43.19    40.51    41.82
  1846        42.08    38.96    40.48
  1847        42.25    38.99    40.58
  1848        42.34    38.65    40.47
  1849        42.13    38.74    40.39
  1850        43.79    40.46    42.09
  1851        42.90    39.36    41.08
  1852        43.30    39.78    41.50
  1853        42.88    39.53    41.15
  1854        42.53    39.09    40.77
  1855        43.99    40.72    42.31
  1856        42.58    39.39    40.95
  1857        42.42    39.19    40.77
  1858        42.17    38.82    40.46
  1859        42.86    39.69    41.23
  1860        45.75    42.45    44.07
  1861        43.85    40.41    42.08
  1862        44.36    40.78    42.53
  1863        43.83    40.26    42.01
  1864        43.69    40.13    41.87
  1865        45.15    41.81    43.45
  1866        45.26    41.27    43.22
  1867        44.45    40.09    42.22
  1868        44.52    39.71    42.09
  1869        44.16    39.01    41.63
  1870        44.86    39.94    42.46
  1871        44.83    40.21    42.65
  1872        46.15    41.32    43.95
  1873        46.62    41.86    44.47
  1874        47.33    42.32    45.07
  1875        48.59    43.79    46.42
  1876        48.05    42.59    45.60
  1877        48.09    42.35    45.57
  1878        48.24    42.31    45.61
  1879        47.87    42.02    45.29
  1880        49.23    43.50    46.70
  1881        48.61    42.24    45.78
  1882        49.15    42.52    46.24
  1883        49.05    42.55    46.18
  1884        49.21    42.70    46.36
  1885        51.03    44.23    48.07
  1886        50.14    43.23    47.15
  1887        50.43    43.19    47.32
  1888        50.91    43.84    47.82
  1889        50.95    43.66    47.80
  1890        52.55    45.09    49.36
  1891        51.47    43.52    48.14
  1892        51.59    43.56    48.19
  1893        52.66    44.33    49.17
  1894        53.19    45.06    49.69
  1895        54.69    46.56    51.22
  1896        54.89    45.61    51.11
  1897        54.49    44.39    50.65
  1898        54.12    43.92    50.01
  1899        54.78    45.63    50.66
  1900        55.99    48.33    52.05
  1901        57.01    49.55    53.16
  1902        57.58    50.40    53.88
  1903        57.79    50.44    54.01
  1904        58.07    50.61    54.24
  1905        58.92    51.44    55.08
  1906        59.69    52.48    56.01
  1907        60.23    52.77    56.43
  1908        60.53    52.99    56.70
  1909        61.76    54.02    57.84
  1910        61.77    53.93    57.80
  1911        60.64    52.87    56.72
  1912        63.47    55.51    59.45
  1913        63.38    55.66    59.50
  1914        63.91    55.51    59.72
  1915        63.42    55.09    59.28
  1916        62.77    54.24    58.52
  1917        63.25    53.92    58.74
  1918        63.62    54.05    58.98
  1919        65.01    55.55    60.32
  1920        68.09    59.21    63.56
  1921        68.16    59.11    63.58
  1922        69.83    60.51    65.11
  1923        69.87    60.32    65.03
  1924        70.65    61.08    65.78
  1925        71.00    61.46    66.11
  1926        70.92    61.39    66.02
  1927        71.93    62.62    67.14
  1928        71.90    62.29    66.94
  1929        72.67    63.31    67.84
  1930        73.74    64.26    68.86
  1931        74.50    64.99    69.61
