Iceland, Life expectancy at birth (cohort, 1x1)	Last modified: 24 Apr 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1838        32.75    29.52    31.15
  1839        34.78    31.13    32.96
  1840        40.33    35.27    37.72
  1841        43.57    36.97    40.30
  1842        41.77    33.40    37.49
  1843        38.44    31.06    34.67
  1844        41.77    35.20    38.49
  1845        29.03    24.93    26.90
  1846        23.30    19.14    21.10
  1847        33.99    28.47    31.11
  1848        41.67    31.91    36.82
  1849        39.53    35.07    37.30
  1850        40.30    33.25    36.74
  1851        42.92    38.04    40.43
  1852        42.64    38.68    40.68
  1853        41.64    36.63    39.20
  1854        39.69    33.93    36.72
  1855        38.93    32.01    35.35
  1856        38.27    32.70    35.47
  1857        38.58    33.96    36.27
  1858        36.11    32.20    34.16
  1859        34.37    30.26    32.29
  1860        38.54    30.69    34.55
  1861        37.99    31.70    34.79
  1862        40.68    36.29    38.49
  1863        44.49    38.71    41.54
  1864        44.17    38.51    41.32
  1865        43.25    37.19    40.07
  1866        41.80    36.30    38.98
  1867        42.75    35.95    39.32
  1868        39.55    33.75    36.66
  1869        40.02    34.29    37.06
  1870        42.09    36.20    39.09
  1871        36.80    32.51    34.64
  1872        39.21    35.75    37.50
  1873        48.52    40.53    44.45
  1874        49.41    41.05    45.16
  1875        48.59    41.03    44.79
  1876        47.57    41.78    44.66
  1877        47.93    43.73    45.88
  1878        46.77    42.48    44.64
  1879        46.24    42.26    44.26
  1880        42.61    37.11    39.86
  1881        36.03    30.80    33.38
  1882        36.65    31.54    34.05
  1883        48.02    44.53    46.22
  1884        53.31    48.92    51.05
  1885        53.78    48.20    50.94
  1886        52.96    48.17    50.53
  1887        52.95    48.24    50.55
  1888        54.84    50.79    52.77
  1889        52.08    47.06    49.49
  1890        50.79    45.72    48.19
  1891        58.47    54.26    56.35
  1892        61.06    55.22    58.07
  1893        59.49    54.01    56.64
  1894        58.07    53.02    55.49
  1895        57.08    52.59    54.90
  1896        57.02    54.33    55.65
  1897        55.45    52.26    53.83
  1898        57.50    53.71    55.59
  1899        59.97    54.91    57.39
  1900        60.27    54.28    57.29
  1901        59.09    53.69    56.29
  1902        57.72    54.00    55.80
  1903        60.74    56.66    58.58
  1904        62.94    57.42    60.02
  1905        62.02    55.24    58.49
  1906        62.65    55.74    58.92
  1907        58.61    52.98    55.73
  1908        59.25    53.85    56.47
  1909        62.11    56.74    59.28
  1910        64.07    58.45    61.07
  1911        65.85    59.90    62.86
  1912        66.80    60.09    63.35
  1913        67.45    59.52    63.33
  1914        66.84    59.20    62.90
  1915        67.20    60.76    63.86
  1916        69.16    60.82    64.72
  1917        70.35    62.07    66.04
  1918        69.21    62.70    65.85
  1919        67.19    61.59    64.29
  1920        68.60    63.44    65.90
  1921        72.07    65.24    68.48
  1922        72.26    65.59    68.89
  1923        73.15    65.87    69.39
  1924        73.27    67.15    70.07
  1925        73.94    67.67    70.61
  1926        73.83    66.78    70.22
  1927        73.20    67.38    70.17
  1928        75.92    69.34    72.45
  1929        75.85    70.06    72.86
  1930        76.05    70.95    73.49
  1931        75.80    70.46    72.99
