Spain, Life expectancy at birth (period, 1x10)	Last modified: 18 Sep 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1908-1909     42.27    40.26    41.25
1910-1919     41.88    39.98    40.91
1920-1929     47.38    44.58    45.96
1930-1939     52.98    47.04    49.92
1940-1949     58.76    52.53    55.62
1950-1959     68.12    63.48    65.86
1960-1969     73.10    67.83    70.52
1970-1979     76.24    70.43    73.38
1980-1989     79.61    73.13    76.41
1990-1999     81.68    74.50    78.09
2000-2009     83.71    77.16    80.45
2010-2019     85.48    79.88    82.72
2020-2021     85.37    79.82    82.61
