Finland, Life expectancy at birth (period, 1x10)	Last modified: 20 Jun 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1878-1879     43.08    40.99    42.05
1880-1889     43.52    40.75    42.12
1890-1899     46.38    43.57    44.96
1900-1909     47.41    44.49    45.94
1910-1919     49.06    42.95    45.89
1920-1929     54.28    49.43    51.84
1930-1939     58.70    53.10    55.87
1940-1949     62.40    48.34    54.90
1950-1959     70.28    63.63    67.05
1960-1969     72.93    65.59    69.33
1970-1979     75.96    67.30    71.68
1980-1989     78.53    70.28    74.51
1990-1999     80.04    72.54    76.37
2000-2009     82.23    75.42    78.88
2010-2019     83.92    78.13    81.06
2020-2023     84.27    78.95    81.61
