Japan, Life expectancy at birth (period, 1x10)	Last modified: 05 Feb 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1947-1949     57.29    53.62    55.45
1950-1959     66.06    62.11    64.07
1960-1969     72.70    67.58    70.11
1970-1979     76.80    71.51    74.19
1980-1989     80.44    74.78    77.69
1990-1999     83.00    76.63    79.90
2000-2009     85.49    78.63    82.14
2010-2019     86.80    80.48    83.70
2020-2022     87.47    81.36    84.45
